match_id,equipo_id,formacion,jugador_id,jugador,posicion
1287356991,7592,4-2-3-1,310723.0,Jhon Lucumí,Defender
1287356991,7592,4-2-3-1,27202.0,Davinson Sánchez,Defender
1287356991,7592,4-2-3-1,2211650.0,Daniel Muñoz,Defender
1287356991,7592,4-2-3-1,401044.0,Jefferson Lerma,Midfielder
1287356991,7592,4-2-3-1,31411898.0,Richard Ríos,Midfielder
1287356991,7592,4-2-3-1,400883.0,Luis Díaz,Midfielder
1287356991,7592,4-2-3-1,83391.0,James Rodríguez,Midfielder
1287356991,7592,4-2-3-1,2207142.0,Jhon Arias,Midfielder
1287356991,7592,4-2-3-1,7605311.0,Luis Javier Suárez,Forward
1287356991,3337,3-4-2-1,210259.0,Dominik Livaković,Goalkeeper
1287356991,3337,3-4-2-1,174678.0,Marin Pongračić,Midfielder
1287356991,3337,3-4-2-1,62391035.0,Luka Vušković,Defender
1287356991,3337,3-4-2-1,4963301.0,Martin Erlić,Midfielder
1287356991,3337,3-4-2-1,33481.0,Ivan Perišić,Midfielder
1287356991,3337,3-4-2-1,56061159.0,Petar Sučić,Defender
1287356991,3337,3-4-2-1,212996.0,Nikola Moro,Defender
1287356991,3337,3-4-2-1,41999419.0,Marco Pašalić,Forward
1287356991,3337,3-4-2-1,135716.0,Nikola Vlašić,Midfielder
1287356991,3337,3-4-2-1,444997.0,Mario Pašalić,Midfielder
1287356991,3337,3-4-2-1,32634210.0,Igor Matanović,Midfielder
1278602754,9294,4-2-3-1,26160883.0,James Trafford,Goalkeeper
1278602754,9294,4-2-3-1,3096989.0,Djed Spence,Defender
1278602754,9294,4-2-3-1,472689.0,Harry Maguire,Defender
1278602754,9294,4-2-3-1,3092803.0,Fikayo Tomori,Defender
1278602754,9294,4-2-3-1,25549888.0,Valentino Livramento,Defender
1278602754,9294,4-2-3-1,47166.0,Jordan Henderson,Midfielder
1278602754,9294,4-2-3-1,144249.0,James Garner,Midfielder
1278602754,9294,4-2-3-1,146503.0,Marcus Rashford,Midfielder
1278602754,9294,4-2-3-1,101745.0,Phil Foden,Midfielder
1278602754,9294,4-2-3-1,22012557.0,Noni Madueke,Midfielder
1278602754,9294,4-2-3-1,3040317.0,Dominic Solanke,Forward
1278602754,6741,4-3-3,69223.0,Fernando Muslera,Goalkeeper
1278602754,6741,4-3-3,8286180.0,Joaquín Piquerez,Defender
1278602754,6741,4-3-3,7608048.0,Mathías Olivera,Defender
1278602754,6741,4-3-3,16392208.0,Ronald Araújo,Defender
1278602754,6741,4-3-3,207844.0,Guillermo Varela,Defender
1278602754,6741,4-3-3,420686.0,Giorgian De Arrascaeta,Midfielder
