match_id,equipo_id,estadistica,valor
1188712475,20357,Successful passes,456.0
1188712475,20357,Red cards,0.0
1188712475,20357,Shots off target,3.0
1188712475,20357,Blocked shots,1.0
1188712475,20357,Shots within penalty area,2.0
1188712475,20357,Total passes,544.0
1188712475,20357,Goalkeeper saves,0.0
1188712475,20357,Fouls,9.0
1188712475,20357,Yellow cards,3.0
1188712475,20357,Shots outside penalty area,7.0
1151322939,9294,Expected Goals,3.01
1151322939,9294,Big Chances Created,4.0
1151322939,9294,Attacks,69.0
1151322939,9294,Free Kicks,8.0
1151322939,9294,Expected Assists,2.17
1151322939,9294,Successful Crosses,4.0
1151322939,9294,Crosses,22.0
1151322939,9294,Passes Own Half,287.0
1151322939,9294,Passes Opposition Half,365.0
1151322939,9294,Successful Long Passes,23.0
1151322939,9294,Long Passes,32.0
1151322939,9294,Throw-Ins,12.0
1151322939,9294,Key Passes,15.0
1151322939,9294,Passes Into Final Third,169.0
1151322939,9294,Backward Passes,115.0
1151322939,9294,Goal Kicks,4.0
1151322939,9294,Interceptions,5.0
1151322939,9294,Successful Tackles,6.0
1151322939,9294,Tackles,7.0
1151322939,9294,Clearances,11.0
1151322939,9294,Successful Aerial Duels,6.0
1151322939,9294,Aerial Duels,18.0
1151322939,9294,Successful Dribbles,7.0
1151322939,9294,Dribbles,14.0
1151322939,9294,Shots accuracy,0.29
1151322939,9294,Failed passes,40.0
1151322939,9294,Possession,0.64
1151322939,9294,Shots on target,5.0
1151322939,9294,Corners,8.0
1151322939,9294,Offsides,1.0
1151322939,9294,Successful passes,590.0
1151322939,9294,Red cards,0.0
1151322939,9294,Shots off target,5.0
1151322939,9294,Blocked shots,7.0
1151322939,9294,Shots within penalty area,15.0
1151322939,9294,Total passes,630.0
1151322939,9294,Shots outside penalty area,2.0
1151322939,9294,Goalkeeper saves,2.0
1151322939,9294,Fouls,10.0
1151322939,9294,Yellow cards,2.0
1151322939,653501,Expected Goals,0.53
1151322939,653501,Big Chances Created,0.0
1151322939,653501,Attacks,32.0
1151322939,653501,Free Kicks,8.0
1151322939,653501,Expected Assists,0.26
1151322939,653501,Successful Crosses,7.0
1151322939,653501,Crosses,11.0
1151322939,653501,Passes Own Half,238.0
1151322939,653501,Passes Opposition Half,137.0
1151322939,653501,Successful Long Passes,19.0
1151322939,653501,Long Passes,40.0
1151322939,653501,Throw-Ins,10.0
1151322939,653501,Key Passes,6.0
1151322939,653501,Passes Into Final Third,36.0
1151322939,653501,Backward Passes,68.0
1151322939,653501,Goal Kicks,8.0
1151322939,653501,Interceptions,9.0
1151322939,653501,Successful Tackles,7.0
1151322939,653501,Tackles,12.0
1151322939,653501,Clearances,21.0
1151322939,653501,Successful Aerial Duels,12.0
1151322939,653501,Aerial Duels,18.0
1151322939,653501,Successful Dribbles,3.0
1151322939,653501,Dribbles,7.0
1151322939,653501,Shots accuracy,0.2
1151322939,653501,Failed passes,55.0
1151322939,653501,Possession,0.36
1151322939,653501,Shots on target,2.0
1151322939,653501,Corners,2.0
1151322939,653501,Offsides,1.0
1151322939,653501,Successful passes,309.0
1151322939,653501,Red cards,0.0
1151322939,653501,Shots off target,3.0
1151322939,653501,Blocked shots,5.0
1151322939,653501,Shots within penalty area,7.0
1151322939,653501,Total passes,364.0
1151322939,653501,Shots outside penalty area,3.0
1151322939,653501,Goalkeeper saves,2.0
1151322939,653501,Fouls,9.0
1151322939,653501,Yellow cards,1.0
1234688601,656054,Attacks,115.0
1234688601,656054,Free Kicks,12.0
1234688601,656054,Throw-Ins,34.0
1234688601,656054,Goal Kicks,1.0
1234688601,656054,Shots accuracy,0.2
1234688601,656054,Possession,0.66
1234688601,656054,Shots on target,4.0
1234688601,656054,Corners,6.0
1234688601,656054,Offsides,2.0
1234688601,656054,Red cards,0.0
1234688601,656054,Shots off target,9.0
1234688601,656054,Blocked shots,7.0
1234688601,656054,Yellow cards,3.0
1234688601,656054,Fouls,15.0
1234688601,949649,Attacks,53.0
1234688601,949649,Free Kicks,17.0
1234688601,949649,Throw-Ins,20.0
1234688601,949649,Goal Kicks,17.0
1234688601,949649,Shots accuracy,0.0
1234688601,949649,Possession,0.34
1234688601,949649,Shots on target,0.0
1234688601,949649,Corners,1.0
1234688601,949649,Offsides,0.0
1234688601,949649,Red cards,0.0
1234688601,949649,Shots off target,2.0
1234688601,949649,Blocked shots,1.0
1234688601,949649,Yellow cards,3.0
1234688601,949649,Fouls,13.0
1287356991,7592,Expected Goals,2.06
1287356991,7592,Big Chances Created,2.0
1287356991,7592,Attacks,117.0
1287356991,7592,Free Kicks,18.0
1287356991,7592,Expected Assists,1.86
1287356991,7592,Successful Crosses,3.0
1287356991,7592,Crosses,18.0
1287356991,7592,Passes Own Half,238.0
1287356991,7592,Passes Opposition Half,387.0
1287356991,7592,Successful Long Passes,33.0
1287356991,7592,Long Passes,47.0
1287356991,7592,Throw-Ins,19.0
1287356991,7592,Key Passes,10.0
1287356991,7592,Passes Into Final Third,162.0
1287356991,7592,Backward Passes,84.0
1287356991,7592,Goal Kicks,6.0
1287356991,7592,Interceptions,3.0
1287356991,7592,Successful Tackles,4.0
1287356991,7592,Tackles,14.0
1287356991,7592,Clearances,11.0
1287356991,7592,Successful Aerial Duels,5.0
1287356991,7592,Aerial Duels,8.0
1287356991,7592,Successful Dribbles,3.0
1287356991,7592,Dribbles,11.0
1287356991,7592,Shots accuracy,0.36
1287356991,7592,Failed passes,57.0
1287356991,7592,Possession,0.58
1287356991,7592,Shots on target,5.0
1287356991,7592,Corners,6.0
1287356991,7592,Offsides,3.0
1287356991,7592,Successful passes,550.0
1287356991,7592,Red cards,0.0
1287356991,7592,Shots off target,6.0
1287356991,7592,Blocked shots,3.0
1287356991,7592,Shots within penalty area,11.0
1287356991,7592,Total passes,607.0
1287356991,7592,Shots outside penalty area,3.0
1287356991,7592,Goalkeeper saves,1.0
1287356991,7592,Fouls,7.0
1287356991,7592,Yellow cards,0.0
1287356991,3337,Expected Goals,1.22
1287356991,3337,Big Chances Created,2.0
1287356991,3337,Attacks,57.0
1287356991,3337,Free Kicks,7.0
1287356991,3337,Expected Assists,0.7
1287356991,3337,Successful Crosses,2.0
1287356991,3337,Crosses,10.0
1287356991,3337,Passes Own Half,292.0
1287356991,3337,Passes Opposition Half,159.0
1287356991,3337,Successful Long Passes,20.0
1287356991,3337,Long Passes,42.0
1287356991,3337,Throw-Ins,10.0
1287356991,3337,Key Passes,12.0
1287356991,3337,Passes Into Final Third,44.0
1287356991,3337,Backward Passes,68.0
1287356991,3337,Goal Kicks,7.0
1287356991,3337,Interceptions,10.0
1287356991,3337,Successful Tackles,8.0
1287356991,3337,Tackles,12.0
1287356991,3337,Clearances,28.0
1287356991,3337,Successful Aerial Duels,3.0
1287356991,3337,Aerial Duels,8.0
1287356991,3337,Successful Dribbles,4.0
1287356991,3337,Dribbles,11.0
1287356991,3337,Shots accuracy,0.25
1287356991,3337,Failed passes,51.0
1287356991,3337,Possession,0.42
1287356991,3337,Shots on target,3.0
1287356991,3337,Corners,4.0
1287356991,3337,Offsides,1.0
1287356991,3337,Successful passes,390.0
1287356991,3337,Red cards,0.0
1287356991,3337,Shots off target,4.0
1287356991,3337,Blocked shots,5.0
1287356991,3337,Shots within penalty area,9.0
1287356991,3337,Total passes,441.0
1287356991,3337,Shots outside penalty area,3.0
1287356991,3337,Goalkeeper saves,4.0
1287356991,3337,Fouls,18.0
1287356991,3337,Yellow cards,3.0
1278602754,9294,Expected Goals,1.86
1278602754,9294,Big Chances Created,2.0
1278602754,9294,Attacks,215.0
1278602754,9294,Free Kicks,12.0
1278602754,9294,Expected Assists,0.98
1278602754,9294,Successful Crosses,8.0
1278602754,9294,Crosses,19.0
1278602754,9294,Passes Own Half,205.0
1278602754,9294,Passes Opposition Half,296.0
1278602754,9294,Successful Long Passes,16.0
1278602754,9294,Long Passes,28.0
1278602754,9294,Throw-Ins,16.0
1278602754,9294,Key Passes,11.0
1278602754,9294,Passes Into Final Third,105.0
1278602754,9294,Backward Passes,94.0
1278602754,9294,Goal Kicks,3.0
