generado,match_id,fecha_partido,local,visitante,fuente_once,lam_l,lam_v,corners,tarjetas,arbitro,mod_1,mkt_1,mod_X,mkt_X,mod_2,mkt_2,mod_mas_2.5,mkt_mas_2.5,mod_btts,mkt_btts,mod_mas_1.5,mkt_mas_1.5,mod_mas_3.5,mkt_mas_3.5,mod_corners_mas_8.5,mkt_corners_mas_8.5,mod_corners_mas_9.5,mkt_corners_mas_9.5,mod_tarjetas_mas_3.5,mkt_tarjetas_mas_3.5,mod_tarjetas_mas_4.5,mkt_tarjetas_mas_4.5,mod_primero_local,mkt_primero_local
2026-09-26T18:38:00+00:00,1301087025,2026-09-26T18:45:00.000Z,England,Spain,real,1.094,1.683,8.7,2.44,"Massa, Davide",0.247,0.2497,0.2417,0.2693,0.5114,0.481,0.5249,0.5483,0.5414,0.5774,0.7649,0.7663,0.3028,0.3421,0.4959,0.5518,0.3755,0.437,0.2513,0.5,0.1456,0.3213,0.3939,0.4154
2026-09-26T18:38:00+00:00,1301087876,2026-09-26T18:45:00.000Z,Czech Republic,Croatia,real,1.19,2.182,9.47,2.02,"Sozza, Simone",0.1996,0.2617,0.201,0.2719,0.5994,0.4664,0.6548,0.5199,0.6172,0.5585,0.8499,0.75,0.4355,0.3119,0.5894,0.5884,0.4688,0.4797,0.1832,0.4558,0.0989,0.2841,0.3528,0.4261
2026-09-26T19:39:04.562255+00:00,1301087025,2026-09-26T18:45:00.000Z,England,Spain,real,1.094,1.682,8.7,2.44,"Massa, Davide",0.247,0.2497,0.2417,0.2693,0.5113,0.481,0.5249,0.5483,0.5414,0.5774,0.7648,0.7663,0.3028,0.3421,0.496,0.5518,0.3756,0.437,0.2512,0.5,0.1455,0.3213,0.394,0.4154
2026-09-26T19:39:04.562255+00:00,1301087876,2026-09-26T18:45:00.000Z,Czech Republic,Croatia,real,1.189,2.182,9.47,2.02,"Sozza, Simone",0.1996,0.2617,0.201,0.2719,0.5994,0.4664,0.6547,0.5199,0.6172,0.5585,0.8499,0.75,0.4354,0.3119,0.5894,0.5884,0.4689,0.4797,0.1832,0.4558,0.0989,0.2841,0.3528,0.4261
