match_id,fecha,liga_id,casa,mercado,lado,cuota,cosechado
1325327760,2026-08-24T19:00:00.000Z,33973,FanDuel,Both Teams To Score,No,2.2,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,Parimatch,Both Teams To Score,Yes,1.65,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,Parimatch,Both Teams To Score,No,2.1,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,William Hill,Both Teams To Score,Yes,1.67,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,William Hill,Both Teams To Score,No,2.15,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,Novibet,Both Teams To Score,Yes,1.7,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,Novibet,Both Teams To Score,No,2.1,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,bet365,Both Teams To Score,Yes,1.7,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,bet365,Both Teams To Score,No,2.05,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,Interwetten,Both Teams To Score,Yes,1.67,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,Interwetten,Both Teams To Score,No,2.1,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,Unibet,Both Teams To Score,Yes,1.66,2026-09-20T23:41:14.348958+00:00
1325327760,2026-08-24T19:00:00.000Z,33973,Unibet,Both Teams To Score,No,2.12,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Betano,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Betano,Both Teams To Score,No,1.82,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Novibet,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Novibet,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,FanDuel,Both Teams To Score,Yes,1.84,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,FanDuel,Both Teams To Score,No,1.94,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,DraftKings,Both Teams To Score,Yes,1.83,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,DraftKings,Both Teams To Score,No,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,TonyBet,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,TonyBet,Both Teams To Score,No,1.9,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Unibet,Both Teams To Score,Yes,1.92,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Unibet,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Vbet Sport,Both Teams To Score,Yes,1.83,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Vbet Sport,Both Teams To Score,No,1.91,2026-09-20T23:41:14.348958+00:00
