match_id,casa,lado,cuota,gl,gv,resultado,retorno
1363687436,ToonieBet,away,2.83,1,2,1.0,1.83
1363687436,FanDuel,home,2.3,1,2,0.0,-1.0
1363687436,FanDuel,draw,3.3,1,2,0.0,-1.0
1363687436,FanDuel,away,2.8,1,2,1.0,1.7999999999999998
1363687436,All British Casino,home,2.25,1,2,0.0,-1.0
1363687436,All British Casino,draw,3.14,1,2,0.0,-1.0
1363687436,All British Casino,away,2.8,1,2,1.0,1.7999999999999998
1363687436,Mystake,home,2.3,1,2,0.0,-1.0
1363687436,Mystake,draw,3.15,1,2,0.0,-1.0
1363687436,Mystake,away,2.85,1,2,1.0,1.85
1363687436,Jackbit,home,2.3,1,2,0.0,-1.0
1363687436,Jackbit,draw,3.15,1,2,0.0,-1.0
1363687436,Jackbit,away,2.85,1,2,1.0,1.85
1363687436,BetUK,home,2.2,1,2,0.0,-1.0
1363687436,BetUK,draw,3.15,1,2,0.0,-1.0
1363687436,BetUK,away,2.95,1,2,1.0,1.9500000000000002
1363687436,Casumo Sport,home,2.2,1,2,0.0,-1.0
1363687436,Casumo Sport,draw,3.15,1,2,0.0,-1.0
1363687436,Casumo Sport,away,2.95,1,2,1.0,1.9500000000000002
1363687436,Coral,home,2.3,1,2,0.0,-1.0
1363687436,Coral,draw,3.2,1,2,0.0,-1.0
1363687436,Coral,away,2.7,1,2,1.0,1.7000000000000002
1363687436,4rabet,home,2.3,1,2,0.0,-1.0
1363687436,4rabet,draw,3.2,1,2,0.0,-1.0
1363687436,4rabet,away,2.82,1,2,1.0,1.8199999999999998
1363687436,Ivibet,home,2.26,1,2,0.0,-1.0
1363687436,Ivibet,draw,3.08,1,2,0.0,-1.0
1363687436,Ivibet,away,2.82,1,2,1.0,1.8199999999999998
1363687436,20Bet,home,2.26,1,2,0.0,-1.0
1363687436,20Bet,draw,3.08,1,2,0.0,-1.0
1363687436,20Bet,away,2.82,1,2,1.0,1.8199999999999998
1363687436,Campobet,home,2.28,1,2,0.0,-1.0
1363687436,Campobet,draw,3.14,1,2,0.0,-1.0
1363687436,Campobet,away,2.8,1,2,1.0,1.7999999999999998
1363687436,Betsson,home,2.22,1,2,0.0,-1.0
1363687436,Betsson,draw,3.05,1,2,0.0,-1.0
1363687436,Betsson,away,2.9,1,2,1.0,1.9
1363687436,Bwin,home,2.25,1,2,0.0,-1.0
