mes,n,elegido,tasa_real,brier_base,mejora_estatico,mejora_reentreno,mejora_adaptativo
2024-09,223,solo precio,0.57847533632287,0.4921636060849572,1.988085463791267,1.988085463791267,1.505203828707713
2024-10,208,solo precio,0.5625,0.49367744142277475,0.9604467058298538,1.2566432177926967,-0.8484810376225171
2024-11,216,produccion+precio,0.5138888888888888,0.5007036591375086,-1.200046200498539,-0.8327558296809201,-0.1740497542827013
2024-12,247,propio_ambos+precio,0.5506072874493927,0.4953306044241268,0.4563508178221709,-2.6254472365922377,-0.6430906279992543
2025-01,220,produccion,0.6045454545454545,0.4873472542103129,-0.1712561672726709,-0.15269245302877987,0.5114856231268616
2025-02,240,solo precio,0.4875,0.5054064827053965,-4.629901133154357,-4.415847331802514,-1.327754644856105
2025-03,220,solo precio,0.5590909090909091,0.49394597165874177,-5.443501127388317,-3.166169277937003,-0.5899019657190196
2025-04,247,produccion,0.5425101214574899,0.49641429465718057,-1.7709157986134372,1.722794486758239,0.5930875658505697
2025-05,236,base+elo,0.5423728813559322,0.4964324225760691,-2.666357606415315,-2.990074803850651,-0.540338012329511
2025-08,157,solo precio,0.4840764331210191,0.505678546144385,-5.460460028300007,-1.7950170292373002,-0.7825689082780585
2025-09,198,solo precio,0.5808080808080808,0.490640664087846,-0.855470410305581,-0.4890997239924699,0.44998957028585806
2025-10,209,produccion,0.5023923444976076,0.5027524406700722,-1.9747174065822382,0.41318496936406657,-0.07207087225784559
2025-11,243,solo precio,0.5102880658436214,0.5013260284396039,-2.3546728827518404,-1.2952859635680491,0.3288433003389324
2025-12,203,solo precio,0.49261083743842365,0.5037844928560261,-3.975630693897325,-2.8640422511277075,0.1373043985004596
2026-01,272,solo precio,0.5882352941176471,0.49007737001520774,-3.2698612540731142,-0.7183562029777768,0.31165087278887116
2026-02,236,base+elo,0.5466101694915254,0.4958167873312873,0.33707620894095625,0.6770067232861554,0.15050849375819464
2026-03,219,propio_ambos+precio,0.5342465753424658,0.4976820942882789,-1.3549216405147835,0.9190482722754467,0.7298544118347405
2026-04,233,base+elo+precio,0.575107296137339,0.4914955525673949,1.4634931183223898,2.1006231848471058,0.9346608264580336
2026-05,247,solo precio,0.582995951417004,0.49006078164025435,3.4264114770765075,3.647375452233381,1.3236891878250945
2026-08,130,produccion+precio,0.47692307692307695,0.5071285646532057,-6.60799440566846,1.0395736896744334,0.7202657737261364
2026-09,186,produccion,0.5860215053763441,0.4894908750976672,-0.014082701588247204,2.6661885414105413,0.9529021585526598
