match_id,liga,familia,mercado,casas,margen_medio,margen_mejor_casa,margen_combinado
1319161414,Serie A,Full Time Result,Full Time Result,48,0.059061839990785577,0.028581862914696554,0.006932176861758288
1319161414,Serie A,Both Teams To Score,Both Teams To Score,28,0.06711864655772695,0.04989747095010255,0.025974025974025983
1319161414,Serie A,Odd or Even,Odd or Even,27,0.06782899908201792,0.04450005440104432,0.022564236337550447
1319161414,Serie A,Total Goals,Total Goals 2.5,33,0.055602617501007735,0.03268391355264555,0.0026637181484645556
1319161414,Serie A,Total Goals,Total Goals 0.5,31,0.05451588959993423,0.03340522731518414,0.01791277258566981
1319161414,Serie A,Total Goals,Total Goals 0.75,17,0.06947271251900834,0.036620255578867056,0.036620255578867056
1319161414,Serie A,Total Goals,Total Goals 1,19,0.06512887036297224,0.03703703703703698,0.03703703703703698
1319161414,Serie A,Total Goals,Total Goals 1.25,20,0.057949724479570176,0.03976531942633654,0.031907015679835116
1319161414,Serie A,Total Goals,Total Goals 1.5,33,0.05812212232784463,0.03733138136568015,0.020733652312599604
1319161414,Serie A,Total Goals,Total Goals 1.75,22,0.05950580701480032,0.03924820342730784,0.023145143845987537
1319161414,Serie A,Total Goals,Total Goals 2,25,0.05560568697318018,0.03741496598639449,0.015968525804212153
1319161414,Serie A,Total Goals,Total Goals 2.25,23,0.05548476850379553,0.0373988864376511,0.019991840065279654
1319161414,Serie A,Total Goals,Total Goals 2.75,23,0.055299394046750744,0.039340776182881454,0.02187902187902191
1319161414,Serie A,Total Goals,Total Goals 3,25,0.05662233296612098,0.03731815306767872,0.012808349146109954
1319161414,Serie A,Total Goals,Total Goals 3.25,23,0.05633011168234953,0.03755868544600949,0.004474272930648837
1319161414,Serie A,Total Goals,Total Goals 3.5,33,0.061160865784783636,0.04209799861973784,0.018755328218243994
1319161414,Serie A,Total Goals,Total Goals 3.75,20,0.05669678313139591,0.037553232675183956,0.0061406806667023695
1319161414,Serie A,Total Goals,Total Goals 4,21,0.05713791246085616,0.03988603988603989,0.02711464780430317
1319161414,Serie A,Total Goals,Total Goals 4.25,19,0.057373231949201756,0.03848330503678565,0.030855539971949675
1319161414,Serie A,Total Goals,Total Goals 4.5,32,0.05953934485901314,0.036470903727541026,0.017713365539452575
1319161414,Serie A,Total Goals,Total Goals 4.75,13,0.054487759296633284,0.036478811708169356,0.02813852813852802
1319161414,Serie A,Total Goals,Total Goals 5,17,0.05985946697317097,0.043290043290043156,0.03571428571428559
1319161414,Serie A,Total Goals,Total Goals 5.5,30,0.050857045542240374,0.02588852588852575,0.016731016731016624
1319161414,Serie A,Total Goals,Total Goals 7.5,5,0.05676567656765674,0.05676567656765674,0.05676567656765674
1319161414,Serie A,Asian Handicap,Asian Handicap +0.25/-0.25,27,0.05674097658796615,0.031037414965986443,0.0181347150259068
1319161414,Serie A,Asian Handicap,Asian Handicap -1.5/+1.5,13,0.06178553570790279,0.05015463224418437,0.03571428571428559
1319161414,Serie A,Asian Handicap,Asian Handicap -1.25/+1.25,17,0.05760775098386198,0.041205752212389424,0.031039136302294157
1319161414,Serie A,Asian Handicap,Asian Handicap -1/+1,16,0.059898645391333855,0.048499304313257774,0.021367521367521514
1319161414,Serie A,Asian Handicap,Asian Handicap -0.75/+0.75,24,0.059483533480160056,0.03740157480314954,0.024931266014550868
1319161414,Serie A,Asian Handicap,Asian Handicap -0.5/+0.5,18,0.06454496961670583,0.048773741471510146,0.0371376811594204
1319161414,Serie A,Asian Handicap,Asian Handicap -0.25/+0.25,27,0.06111352170333603,0.04151130996768582,0.0308531698131429
1319161414,Serie A,Asian Handicap,Asian Handicap +0.5/-0.5,21,0.06692925623262956,0.046437320268399196,0.019577930333078974
1319161414,Serie A,Asian Handicap,Asian Handicap +0.75/-0.75,27,0.06045543369188241,0.03703703703703698,0.021531100478469067
1319161414,Serie A,Asian Handicap,Asian Handicap +1/-1,20,0.06419228655601243,0.04410870886515594,0.02243088158581119
1319161414,Serie A,Asian Handicap,Asian Handicap +1.25/-1.25,24,0.061147312724807945,0.03740157480314954,0.011135057471264309
1319161414,Serie A,Asian Handicap,Asian Handicap +1.5/-1.5,19,0.060391611086518734,0.047685219044832916,0.03424706813439826
1319161414,Serie A,Asian Handicap,Asian Handicap +1.75/-1.75,15,0.05746796264269622,0.04064039408866993,0.02735822171558855
1319161414,Serie A,Asian Handicap,Asian Handicap +2.5/-2.5,8,0.05991229031562578,0.04564571516765037,0.04564571516765037
1319161414,Serie A,Total Corners,Total Corners 8.5,11,0.0839294316442551,0.07276387690537822,0.00492412822831878
1319161414,Serie A,Total Corners,Total Corners 5.5,9,0.08116743098371224,0.0602883355176933,0.03571428571428559
1319161414,Serie A,Total Corners,Total Corners 6.5,9,0.08307580451113715,0.0714285714285714,0.02092352092352079
1319161414,Serie A,Total Corners,Total Corners 7.5,11,0.08390854878616945,0.07114093959731549,-0.05755499310657031
1319161414,Serie A,Total Corners,Total Corners 9.5,11,0.08465735223900278,0.07482993197278898,0.0069656605157033535
1319161414,Serie A,Total Corners,Total Corners 10.5,9,0.08669473032422914,0.0753676470588236,0.013542107490478239
1319161414,Serie A,Total Corners,Total Corners 11.5,8,0.086450183683254,0.07575078440161365,0.025857698157850217
1319161414,Serie A,Total Corners,Total Corners 12.5,8,0.08370014626145744,0.06677018633540355,0.03778467908902683
1319161414,Serie A,Total Corners,Total Corners 13.5,5,0.0895681268552532,0.07396656991292172,0.03767222275749105
1319161414,Serie A,Total Goals,Total Goals 5.25,8,0.048056990065313276,0.03571428571428559,0.03571428571428559
1319161414,Serie A,Asian Handicap,Asian Handicap 0,13,0.05409542572537721,0.029789419619928204,0.029789419619928204
1319161414,Serie A,Asian Handicap,Asian Handicap -2.25/+2.25,3,0.06017579668244107,0.04550065207940879,0.04550065207940879
1319161414,Serie A,Asian Handicap,Asian Handicap -1.75/+1.75,6,0.05670275505850227,0.049216332235200166,0.049216332235200166
1319161414,Serie A,Asian Handicap,Asian Handicap +2.25/-2.25,3,0.06435785754273475,0.04977920513849843,0.04977920513849843
1319161414,Serie A,Asian Handicap,Asian Handicap +2.75/-2.75,3,0.06240817794215858,0.05023886577284631,0.05023886577284631
1319161414,Serie A,Total Goals,Total Goals 6.5,6,0.039874649439303224,0.028560548362528637,0.018853695324283493
1319161414,Serie A,Asian Handicap,Asian Handicap +2/-2,4,0.060558588387413126,0.05299072897548118,0.05299072897548118
1319161414,Serie A,First Team To Score,First Team To Score,5,0.11165608274832035,0.1016837926950287,0.07791661890022539
1319161414,Serie A,Total Cards,Total Cards 2.75,1,0.07984482658792191,0.07984482658792191,0.07984482658792191
1319161414,Serie A,Total Cards,Total Cards 1.25,1,0.10234705656021559,0.10234705656021559,0.10234705656021559
1319161414,Serie A,Total Cards,Total Cards 1.5,1,0.0988492737219393,0.0988492737219393,0.0988492737219393
1319161414,Serie A,Total Cards,Total Cards 1.75,1,0.09390609390609383,0.09390609390609383,0.09390609390609383
1319161414,Serie A,Total Cards,Total Cards 2,1,0.08707151925518408,0.08707151925518408,0.08707151925518408
1319161414,Serie A,Total Cards,Total Cards 2.25,1,0.08162100456621002,0.08162100456621002,0.08162100456621002
1319161414,Serie A,Total Cards,Total Cards 2.5,2,0.08076530798203296,0.07994389901823284,-0.012731203459043883
1319161414,Serie A,Total Cards,Total Cards 3,2,0.08421072541969521,0.08158671694583308,-0.027345744927805393
1319161414,Serie A,Total Cards,Total Cards 3.25,1,0.09307359307359309,0.09307359307359309,0.09307359307359309
1319161414,Serie A,Total Cards,Total Cards 3.5,2,0.08988180947024282,0.08066169747014329,0.009473877851361223
1319161414,Serie A,Total Cards,Total Cards 3.75,1,0.10538641686182659,0.10538641686182659,0.10538641686182659
1319161414,Serie A,Total Cards,Total Cards 4,2,0.09435755328986462,0.08080420028172619,-0.055019229259869684
1319161414,Serie A,Total Cards,Total Cards 4.25,1,0.10909090909090913,0.10909090909090913,0.10909090909090913
1319161414,Serie A,Total Cards,Total Cards 4.5,1,0.10611043794356934,0.10611043794356934,0.10611043794356934
1319161414,Serie A,Total Cards,Total Cards 4.75,1,0.10389610389610393,0.10389610389610393,0.10389610389610393
1319161414,Serie A,Total Cards,Total Cards 5,1,0.10859728506787314,0.10859728506787314,0.10859728506787314
1319161414,Serie A,Total Cards,Total Cards 5.25,1,0.1050527081061432,0.1050527081061432,0.1050527081061432
1319161414,Serie A,Total Cards,Total Cards 5.5,1,0.10752386299831551,0.10752386299831551,0.10752386299831551
1319161414,Serie A,Total Corners,Total Corners 4.5,2,0.08819247309346312,0.07264957264957261,0.07264957264957261
1319161414,Serie A,Total Corners,Total Corners 14.5,1,0.06853038245000964,0.06853038245000964,0.06853038245000964
1319161414,Serie A,Total Goals,Total Goals 5.75,1,0.071301247771836,0.071301247771836,0.071301247771836
1319161414,Serie A,Asian Handicap,Asian Handicap -2.5/+2.5,1,0.071301247771836,0.071301247771836,0.071301247771836
1319161414,Serie A,Asian Handicap,Asian Handicap -2/+2,1,0.071301247771836,0.071301247771836,0.071301247771836
1319161414,Serie A,Total Corners,Total Corners 7,1,0.08081909608627158,0.08081909608627158,0.08081909608627158
1319161414,Serie A,Total Corners,Total Corners 8,1,0.08240022968705141,0.08240022968705141,0.08240022968705141
1319161414,Serie A,Total Corners,Total Corners 9,1,0.08240022968705141,0.08240022968705141,0.08240022968705141
1319161414,Serie A,Total Corners,Total Corners 10,1,0.0797485517071368,0.0797485517071368,0.0797485517071368
1319161414,Serie A,Total Corners,Total Corners 11,1,0.08094519859225757,0.08094519859225757,0.08094519859225757
1336409482,La Liga,Full Time Result,Full Time Result,49,0.0546021734248554,0.0269728689324229,0.012655062024809816
1336409482,La Liga,Total Goals,Total Goals 2,25,0.05142115725119525,0.031283138918345665,-0.03379387602688577
1336409482,La Liga,Total Goals,Total Goals 0.5,33,0.05540535373420077,0.03779103779103776,0.02211302211302213
1336409482,La Liga,Total Goals,Total Goals 0.75,20,0.05703556281191151,0.044372294372294396,0.0242518059855521
1336409482,La Liga,Total Goals,Total Goals 1,22,0.054136975388799274,0.036231884057971175,0.023359288097886566
1336409482,La Liga,Total Goals,Total Goals 1.25,23,0.05530307069011662,0.04113655640373182,0.03535353535353547
1336409482,La Liga,Total Goals,Total Goals 1.5,34,0.057177421770394345,0.03580869983177104,0.01754385964912286
1336409482,La Liga,Total Goals,Total Goals 1.75,23,0.055038414257271635,0.039528054263364254,0.02469385689707515
1336409482,La Liga,Total Goals,Total Goals 2.25,23,0.055653428608314376,0.039828922747928264,0.025974025974025983
1336409482,La Liga,Total Goals,Total Goals 2.5,34,0.05724127264599089,0.038223140495867725,0.02499999999999991
1336409482,La Liga,Total Goals,Total Goals 2.75,23,0.05602590668099787,0.03828375014815699,0.017524024872809463
1336409482,La Liga,Total Goals,Total Goals 3,25,0.05625212696877315,0.03766025641025639,0.019096237474002686
1336409482,La Liga,Total Goals,Total Goals 3.25,20,0.056098216070528936,0.03900975243810967,0.031170714026821367
1336409482,La Liga,Total Goals,Total Goals 3.5,34,0.05910554007639496,0.039212238438544045,0.030527913644796678
1336409482,La Liga,Total Goals,Total Goals 3.75,19,0.05474942282031921,0.03848330503678565,0.03467329741677028
1336409482,La Liga,Total Goals,Total Goals 4,19,0.067008021854987,0.04327509142624941,0.03230890464933012
1336409482,La Liga,Asian Handicap,Asian Handicap -0.5/+0.5,21,0.062336960405386485,0.036519871106337254,0.020408163265306145
1336409482,La Liga,Asian Handicap,Asian Handicap -1/+1,22,0.0602235033673773,0.02778835173201366,0.003544528134692193
1336409482,La Liga,Asian Handicap,Asian Handicap -0.75/+0.75,27,0.058495163550555535,0.0284851325313753,0.016631173308994995
1336409482,La Liga,Asian Handicap,Asian Handicap -0.25/+0.25,27,0.05905711201373758,0.03896103896103886,0.033411033411033575
1336409482,La Liga,Asian Handicap,Asian Handicap 0,13,0.05920851342531151,0.04839834487888783,0.033878375080425016
1336409482,La Liga,Asian Handicap,Asian Handicap +0.25/-0.25,26,0.06038639526570981,0.03835169318645448,0.008289955658376646
1336409482,La Liga,Odd or Even,Odd or Even,28,0.06757014088198764,0.04054054054054035,0.03475935828876997
1336409482,La Liga,Total Corners,Total Corners 8.5,11,0.08128120894443117,0.07276387690537822,0.04473540643753404
1336409482,La Liga,Total Corners,Total Corners 7.5,10,0.08588344620247608,0.07242897158863548,0.0512820512820511
1336409482,La Liga,Total Corners,Total Corners 9.5,10,0.0837165682149467,0.07456140350877205,0.03694267515923566
1336409482,La Liga,Both Teams To Score,Both Teams To Score,29,0.06639153413952074,0.04775828460038989,0.012626262626262541
1336409482,La Liga,Total Goals,Total Goals 4.5,31,0.05177450754749481,0.03389396397165534,0.02507717680889754
1336409482,La Liga,Asian Handicap,Asian Handicap +0.5/-0.5,19,0.0641014925116727,0.03809523809523818,0.029885057471264354
1336409482,La Liga,Total Goals,Total Goals 4.25,12,0.05367148296736385,0.03874610591900307,0.03874610591900307
1336409482,La Liga,Total Goals,Total Goals 4.75,8,0.044963146653949765,0.038461538461538325,0.038461538461538325
1336409482,La Liga,Total Goals,Total Goals 5,7,0.045687357700412434,0.035947712418300526,0.035947712418300526
1336409482,La Liga,Total Goals,Total Goals 5.5,19,0.0426569943783701,0.022982929664225882,0.013276076625980737
1336409482,La Liga,Asian Handicap,Asian Handicap -2.25/+2.25,9,0.05116753065234628,0.037296037296037365,0.03409090909090917
1336409482,La Liga,Asian Handicap,Asian Handicap -1.75/+1.75,21,0.059583037297401234,0.04166666666666674,0.008351376430559831
1336409482,La Liga,Asian Handicap,Asian Handicap -1.25/+1.25,24,0.05921143114174038,0.03832442067736186,-0.010232192050373845
1336409482,La Liga,Asian Handicap,Asian Handicap +0.75/-0.75,22,0.05942081192094845,0.036231884057971175,0.03485447358965166
1336409482,La Liga,Asian Handicap,Asian Handicap +1.25/-1.25,9,0.06280667438528235,0.036620255578867056,0.032618654938610936
1336409482,La Liga,Asian Handicap,Asian Handicap -1.5/+1.5,21,0.061574259493200785,0.04767336248231002,0.0014781966001478075
1336409482,La Liga,Total Corners,Total Corners 5.5,8,0.08486216274952788,0.06909090909090909,0.06090090090090072
1336409482,La Liga,Total Corners,Total Corners 6.5,9,0.08534571074569855,0.07027027027027022,0.050061050061050105
1336409482,La Liga,Total Corners,Total Corners 10.5,9,0.08404846032739194,0.07226107226107215,0.051693404634581164
1336409482,La Liga,Total Corners,Total Corners 11.5,9,0.08579559065598039,0.07483492296404992,0.053643194128953464
1336409482,La Liga,Total Corners,Total Corners 12.5,5,0.09311421058522855,0.07517965726920939,0.05827626308308553
1336409482,La Liga,Total Corners,Total Corners 4.5,2,0.09101399952223399,0.07956943858168009,0.07956943858168009
1336409482,La Liga,Total Corners,Total Corners 13.5,2,0.08923344307163628,0.0772567651311713,0.0772567651311713
1336409482,La Liga,Total Corners,Total Corners 14.5,1,0.07009900990099016,0.07009900990099016,0.07009900990099016
1336409482,La Liga,First Team To Score,First Team To Score,5,0.11406151781816201,0.10955507527711839,0.09971952929699412
1336409482,La Liga,Asian Handicap,Asian Handicap +1/-1,12,0.06146145891934764,0.04977920513849843,0.023865153538050743
1336409482,La Liga,Asian Handicap,Asian Handicap -2.75/+2.75,6,0.054591890395979004,0.05003403675970031,0.05003403675970031
1336409482,La Liga,Asian Handicap,Asian Handicap +1.75/-1.75,3,0.057921178421617446,0.05501902253438695,0.05501902253438695
1336409482,La Liga,Asian Handicap,Asian Handicap -2.5/+2.5,9,0.06161085068084539,0.0508585090197784,0.042204995693367664
1336409482,La Liga,Asian Handicap,Asian Handicap -2/+2,9,0.0586342700368461,0.05092592592592582,0.03409090909090917
1336409482,La Liga,Asian Handicap,Asian Handicap +1.5/-1.5,8,0.05676473814953423,0.05023886577284631,0.04090354090354076
1336409482,La Liga,Total Cards,Total Cards 4.5,2,0.08142004939084424,0.0812074457204639,0.05665216906434711
1336409482,La Liga,Total Cards,Total Cards 2.5,1,0.10717797443461174,0.10717797443461174,0.10717797443461174
1336409482,La Liga,Total Cards,Total Cards 2.75,1,0.10016420361247946,0.10016420361247946,0.10016420361247946
