mercado,n_validacion,huecos_vs_estricto,n_cuota,estricto_vs_mercado,huecos_vs_mercado
resultado,574,2.403274249149196,219,-3.161852860470727,-1.5588194011639944
mas_2_5,574,-0.4194252783032589,219,-1.9684299382062793,-2.0522289778723457
ambos_marcan,574,2.4485206400019885,219,-1.3644113913636748,0.14539395227117322
mas_9_5_corners,574,1.9935348148717378,219,-2.491678441834943,-1.7686770519590511
mas_4_5_tarjetas,574,1.3904334924947916,207,-2.44594432259088,-2.563991448904327
