config,n_extra,mercado,n,sigmas,acierto_modelo,acierto_mercado,acierto_dif
base+elo+h2h_profundo+rotacion,2,mas_4_5_tarjetas,201,-1.331984472670742,0.6766169154228856,0.6467661691542289,0.02985074626865669
base+elo+h2h_profundo+calidad_plantilla,2,resultado,212,-2.1217328908575412,0.45754716981132076,0.5141509433962265,-0.0566037735849057
base+elo+h2h_profundo+calidad_plantilla,2,mas_2_5,212,-1.0825285629739003,0.6367924528301887,0.6556603773584906,-0.018867924528301883
base+elo+h2h_profundo+calidad_plantilla,2,ambos_marcan,212,-1.3525449617842926,0.5660377358490566,0.5849056603773585,-0.018867924528301883
base+elo+h2h_profundo+calidad_plantilla,2,mas_9_5_corners,212,-1.5132687932576043,0.5283018867924528,0.5849056603773585,-0.05660377358490565
base+elo+h2h_profundo+calidad_plantilla,2,mas_4_5_tarjetas,201,-1.9309106323524168,0.6666666666666666,0.6467661691542289,0.01990049751243772
base+elo+tabla+boxscore,2,resultado,212,-3.283216799144037,0.4811320754716981,0.5141509433962265,-0.03301886792452835
base+elo+tabla+boxscore,2,mas_2_5,212,-1.6785757597680009,0.6084905660377359,0.6556603773584906,-0.047169811320754707
base+elo+tabla+boxscore,2,ambos_marcan,212,-2.3312397571337984,0.5188679245283019,0.5849056603773585,-0.06603773584905659
base+elo+tabla+boxscore,2,mas_9_5_corners,212,-1.3639431443792212,0.5566037735849056,0.5849056603773585,-0.028301886792452824
base+elo+tabla+boxscore,2,mas_4_5_tarjetas,201,-2.2735897663876905,0.6368159203980099,0.6467661691542289,-0.009950248756218971
base+elo+tabla+arbitro,2,resultado,212,-3.0238204799575508,0.47641509433962265,0.5141509433962265,-0.03773584905660382
base+elo+tabla+arbitro,2,mas_2_5,212,-1.086459043177973,0.5849056603773585,0.6556603773584906,-0.07075471698113212
