match_id,equipo_id,jugador_id,posicion,minutos,suplente,nota,fueras_de_juego,goalsScored,goalsSaved,goalsConceded,assists,dribblesTotal,dribblesSuccessful,dribblesFailed,dribbleSuccessRate,fouledByOthers,fouledOthers,tacklesTotal,interceptionsTotal,duelsTotal,duelsWon,duelsLost,duelSuccessRate,cardsRed,cardsYellow,cardsSecondYellow,passesAccuracy,passesSuccessful,passesFailed,passesTotal,passesKey,penaltiesScored,penaltiesMissed,penaltiesTotal,penaltiesAccuracy,shotsOnTarget,shotsOffTarget,shotsTotal,shotsAccuracy,expectedGoals,expectedAssists,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedGoalsPrevented
1336014618,457771,89200272,Forward,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0.12,0.47,0.21,,
1336014618,457771,29409702,Forward,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0.06,0.01,,,
1336014618,609249,7556689,Goalkeeper,90,False,7.71,0,0,9,3,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,72.22 %,26,10,36,0,0,0,0,0.00 %,0,0,0,0.00 %,,0,,3.3,0.27
1336014618,609249,26198396,Defender,90,False,6.34,0,0,0,0,0,0,0,0,0.00 %,0,1,4,0,8,5,3,62.50 %,0,1,1,80.00 %,52,13,65,1,0,0,0,0.00 %,0,1,1,0.00 %,0.05,0.23,,,
1336014618,609249,26169899,Defender,90,False,6.25,0,0,0,0,0,0,0,0,0.00 %,1,1,3,1,8,5,3,62.50 %,0,0,0,95.45 %,63,3,66,0,0,0,0,0.00 %,0,1,1,0.00 %,0.01,0.01,,,
1336014618,609249,4057837,Defender,90,False,6.87,0,0,0,0,0,0,0,0,0.00 %,1,1,2,1,9,7,2,77.78 %,0,0,0,98.15 %,53,1,54,0,0,0,0,0.00 %,0,0,0,0.00 %,,0,,,
1336014618,609249,16878106,Defender,61,False,5.94,0,0,0,0,0,1,0,1,0.00 %,2,0,0,1,4,2,2,50.00 %,0,0,0,86.36 %,38,6,44,1,0,0,0,0.00 %,0,0,0,0.00 %,,0.03,,,
1336014618,609249,7645239,Midfielder,90,False,6.91,0,0,0,0,0,0,0,0,0.00 %,0,0,3,0,3,3,0,100.00 %,0,0,0,84.51 %,60,11,71,0,0,0,0,0.00 %,1,0,1,100.00 %,0.03,0.02,0.04,,
1336014618,609249,7633808,Midfielder,90,False,7.52,0,0,0,0,0,0,0,0,0.00 %,0,3,5,1,10,7,3,70.00 %,0,1,1,92.00 %,46,4,50,4,0,0,0,0.00 %,0,2,2,0.00 %,0.1,0.05,,,
1336014618,609249,106879521,Midfielder,45,False,5.92,1,0,0,0,0,2,0,2,0.00 %,0,3,1,0,6,1,5,16.67 %,0,1,1,66.67 %,6,3,9,0,0,0,0,0.00 %,0,1,1,0.00 %,0.17,0,,,
1336014618,609249,46767756,Midfielder,66,False,6.27,0,0,0,0,0,1,0,1,0.00 %,1,0,0,0,5,2,3,40.00 %,0,0,0,88.00 %,22,3,25,0,0,0,0,0.00 %,0,1,1,0.00 %,0.18,0.02,,,
1336014618,609249,7634613,Midfielder,78,False,7.25,0,0,0,0,0,0,0,0,0.00 %,1,0,0,1,3,1,2,33.33 %,0,0,0,90.91 %,20,2,22,2,0,0,0,0.00 %,3,0,3,100.00 %,0.28,0.69,0.29,,
1336014618,609249,26196947,Forward,66,False,7.58,1,1,0,0,0,0,0,0,0.00 %,1,0,0,0,4,4,0,100.00 %,0,0,0,75.00 %,3,1,4,0,0,0,0,0.00 %,2,2,4,50.00 %,1.6,0,0.9,,
1336014618,609249,64963332,Forward,45,True,6.87,0,0,0,0,1,4,1,3,25.00 %,1,1,1,0,11,3,8,27.27 %,0,0,0,83.33 %,5,1,6,2,0,0,0,0.00 %,1,0,1,100.00 %,0.12,0.47,0.21,,
1336014618,609249,98515571,Defender,29,True,6.51,0,0,0,0,0,0,0,0,0.00 %,2,1,1,0,6,3,3,50.00 %,0,0,0,81.82 %,9,2,11,0,0,0,0,0.00 %,0,0,0,0.00 %,0.03,0.01,0.16,,
1336014618,609249,26061707,Midfielder,24,True,6.73,0,0,0,0,0,0,0,0,0.00 %,1,1,1,0,5,2,3,40.00 %,0,1,1,100.00 %,7,0,7,1,0,0,0,0.00 %,0,0,0,0.00 %,0.06,0.01,,,
1336014618,609249,108511578,Forward,24,False,6.31,0,0,0,0,0,0,0,0,0.00 %,1,1,0,0,4,2,2,50.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,1,1,0.00 %,0.04,0,,,
1336014618,609249,88768309,Midfielder,12,True,6.70,0,0,0,0,0,1,1,0,100.00 %,0,0,0,0,1,1,0,100.00 %,0,0,0,100.00 %,2,0,2,1,0,0,0,0.00 %,0,0,0,0.00 %,,0.05,,,
1336014618,609249,49643860,Goalkeeper,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,1.6,0,0.9,,
1336014618,609249,98513961,Defender,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0.12,0.47,0.21,,
1336014618,609249,92374387,Defender,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,,,,,
1336014618,609249,52722663,Defender,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,,,,,
1336014618,609249,53941111,Defender,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,,0.03,,,
1336014618,609249,106879682,Midfielder,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0.22,0.01,0.17,,
1336412035,453516,7652001,Goalkeeper,90,False,6.19,0,0,3,3,0,0,0,0,0.00 %,1,0,0,0,1,1,0,100.00 %,0,0,0,51.43 %,18,17,35,0,0,0,0,0.00 %,0,0,0,0.00 %,,0,,2.6,-0.42
1336412035,453516,4234776,Defender,90,False,6.45,0,0,0,0,0,4,2,2,50.00 %,1,2,2,2,12,7,5,58.33 %,0,0,0,87.23 %,41,6,47,1,0,0,0,0.00 %,0,0,0,0.00 %,0.02,0.02,,,
1336412035,453516,7641697,Defender,90,False,6.26,0,0,0,0,0,0,0,0,0.00 %,0,0,3,1,3,3,0,100.00 %,0,0,0,88.24 %,45,6,51,0,0,0,0,0.00 %,0,0,0,0.00 %,0.03,0.02,,,
1336412035,453516,5938478,Defender,90,False,7.21,0,0,0,0,0,2,2,0,100.00 %,1,1,2,2,14,9,5,64.29 %,0,1,1,87.04 %,47,7,54,2,0,0,0,0.00 %,0,1,1,0.00 %,0.02,0.04,,,
1336412035,453516,147952,Defender,82,False,6.15,0,0,0,0,0,1,1,0,100.00 %,0,2,2,1,6,3,3,50.00 %,0,1,1,96.43 %,27,1,28,1,0,0,0,0.00 %,0,0,0,0.00 %,0.02,0.03,,,
1336412035,453516,7803019,Midfielder,45,False,6.50,0,0,0,0,0,1,1,0,100.00 %,0,0,0,1,2,1,1,50.00 %,0,0,0,85.71 %,30,5,35,0,0,0,0,0.00 %,0,0,0,0.00 %,,0.01,,,
1336412035,453516,103252191,Midfielder,90,False,7.48,0,1,0,0,0,2,1,1,50.00 %,1,1,3,2,10,5,5,50.00 %,0,0,0,90.00 %,36,4,40,1,0,0,0,0.00 %,1,1,2,50.00 %,0.09,0.03,0.09,,
1336412035,453516,398790,Midfielder,69,False,7.00,0,0,0,0,0,0,0,0,0.00 %,1,0,3,0,10,4,6,40.00 %,0,0,0,91.49 %,43,4,47,1,0,0,0,0.00 %,0,0,0,0.00 %,,0.01,,,
1336412035,453516,13517,Midfielder,88,False,7.88,1,0,0,0,0,8,7,1,87.50 %,1,0,0,1,10,8,2,80.00 %,0,0,0,75.00 %,15,5,20,2,0,0,0,0.00 %,0,2,2,0.00 %,0.11,0.52,,,
1336412035,453516,50827693,Forward,90,False,6.70,0,0,0,0,0,7,4,3,57.14 %,2,2,2,0,16,8,8,50.00 %,0,0,0,64.00 %,16,9,25,0,0,0,0,0.00 %,1,3,4,25.00 %,0.24,0.01,0.02,,
1336412035,453516,7609658,Forward,82,False,6.54,1,0,0,0,1,0,0,0,0.00 %,1,1,1,0,8,3,5,37.50 %,0,0,0,88.89 %,8,1,9,1,0,0,0,0.00 %,0,1,1,0.00 %,0.57,0.04,,,
1336412035,453516,70772212,Forward,45,True,7.99,0,0,0,0,0,1,1,0,100.00 %,0,0,2,1,3,3,0,100.00 %,0,0,0,100.00 %,15,0,15,3,0,0,0,0.00 %,1,0,1,100.00 %,0.14,0.55,0.12,,
1336412035,453516,3064789,Midfielder,21,True,6.30,0,0,0,0,0,1,0,1,0.00 %,0,0,0,0,1,0,1,0.00 %,0,0,0,100.00 %,14,0,14,2,0,0,0,0.00 %,1,0,1,100.00 %,0.03,0.05,0.07,,
1336412035,453516,26110329,Defender,8,True,6.68,0,0,0,0,0,1,1,0,100.00 %,1,0,1,0,3,3,0,100.00 %,0,0,0,50.00 %,2,2,4,0,0,0,0,0.00 %,0,0,0,0.00 %,,0.02,,,
1336412035,453516,65373399,Forward,8,True,6.74,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,3,0,3,0.00 %,0,0,0,100.00 %,1,0,1,0,0,0,0,0.00 %,1,1,2,50.00 %,0.28,0,0.75,,
1336412035,453516,7556367,Forward,9,True,7.05,0,0,0,0,0,0,0,0,0.00 %,1,0,0,0,1,1,0,100.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,,0.31,,,
1336412035,453516,52915863,Goalkeeper,0,True,,0,0,0,0,0,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,0,0,0,0,0,0,0,0.00 %,0,0,0,0.00 %,,,,,
