match_id,fuente_1x2,p_local,p_empate,p_visitante,fuente_mas_2_5,p_mas_2_5
895647648,pinnacle,0.2505083367222449,0.31557543716958114,0.43391622610817404,pinnacle,0.35933806146572106
1325357545,betfair,0.26860465116279064,0.2581395348837209,0.4732558139534883,betfair,0.6009615384615384
1325358396,betfair,0.5758721078706778,0.2429899381990909,0.18113795393023138,betfair,0.5572139303482587
895646797,pinnacle,0.6503273588738613,0.21203233363721077,0.13764030748892803,pinnacle,0.5645569620253165
1325354141,betfair,0.3048128342245989,0.2606951871657754,0.4344919786096257,betfair,0.6024096385542168
895651052,pinnacle,0.7682739595563182,0.16379444823028103,0.06793159221340077,pinnacle,0.5115089514066496
1325356694,betfair,0.5461587761584975,0.2498676400925126,0.20397358374898988,betfair,0.5536159600997507
1325360098,betfair,0.6038135593220338,0.22139830508474573,0.17478813559322032,betfair,0.6124401913875597
1325355843,betfair,0.17848066228831685,0.24377846556453037,0.5777408721471529,betfair,0.5286783042394015
1325361800,betfair,0.5023562676720075,0.25504241281809614,0.24260131950989633,betfair,0.5907990314769975
1325354992,betfair,0.37212424571874697,0.26396013162983123,0.3639156226514217,betfair,0.6308411214953271
1325349886,betfair,0.4077669902912622,0.2763754045307444,0.31585760517799355,betfair,0.5558312655086849
895679986,pinnacle,0.5165402430866706,0.2705001830091757,0.21295957390415368,pinnacle,0.4668367346938776
895673178,pinnacle,0.2616822429906542,0.2897196261682243,0.4485981308411215,pinnacle,0.4416243654822335
895676582,pinnacle,0.3789380115518854,0.32140946854400837,0.2996525199041063,pinnacle,0.36018957345971564
895672327,pinnacle,0.7339751013886218,0.16393352518324547,0.10209137342813285,pinnacle,0.6494117647058822
895674880,pinnacle,0.15652803641630456,0.27260500724187875,0.5708669563418167,pinnacle,0.39408866995073893
895678284,pinnacle,0.5588039682979549,0.26278889319957877,0.17840713850246634,pinnacle,0.46153846153846156
895675731,pinnacle,0.8676564400174891,0.09193710622701873,0.04040645375549221,pinnacle,0.6824324324324323
895683390,pinnacle,0.384983488258317,0.32684839774951074,0.2881681139921722,pinnacle,0.3473193473193473
895687645,pinnacle,0.28957879448075524,0.3050108932461874,0.4054103122730574,pinnacle,0.44529262086514
895688496,pinnacle,0.42712721145745575,0.2881213142375737,0.2847514743049705,pinnacle,0.49487179487179483
895680837,pinnacle,0.585115547398779,0.26450428855013297,0.15038016405108806,pinnacle,0.43037974683544306
895645095,pinnacle,0.3441073762656314,0.33236309721219687,0.3235295265221717,pinnacle,0.33563218390804594
895677433,pinnacle,0.1878762070275185,0.2613049132781659,0.5508188796943158,pinnacle,0.4936061381074168
