match_id,home_injury_index,away_injury_index
1335969515,0.0,0.0
1335967813,0.0,0.0
1335968664,0.0,0.0
1335963558,0.0,0.0
1335961856,0.0,0.0
1335966962,0.0036496350364963502,0.0
1335966111,0.0,0.007403625223385244
1335962707,0.0,0.0
1335964409,0.0,0.0
1335961005,0.0,0.0
1335965260,0.0,0.0
1335973770,0.0,0.0
1335975472,0.0,0.0
1335970366,0.0,0.0
1335972919,0.0,0.0036496350364963502
1335978025,0.0,0.007403625223385244
1335978876,0.0,0.01799280287884846
1335976323,0.0,0.0
1335971217,0.0,0.0
1335974621,0.0,0.0
1335977174,0.0,0.0
1335972068,0.0,0.0
1335988237,0.0,0.0
1335984833,0.0,0.026108927568781585
1335985684,0.04774061781976002,0.0
1335979727,0.13017429193899782,0.0
1335987386,0.0,0.01799280287884846
1335983982,0.0,0.0
1335982280,0.0,0.0
1335986535,0.0,0.0
1335980578,0.0,0.0
1335983131,0.0,0.0
1335981429,0.0,0.0
1335994194,0.026108927568781585,0.04774061781976002
1335992492,0.0,0.0
1335990790,0.0,0.0
1335997598,0.09515570934256055,0.0
1335993343,0.0,0.0
1335995896,0.0,0.0
1335989088,0.01799280287884846,0.10877719429857464
1335989939,0.0,0.13017429193899782
1335995045,0.0,0.0
1335991641,0.0,0.014035087719298246
1335996747,0.0,0.0
1335999300,0.1075590080669256,0.0
1336001853,0.0,0.01799280287884846
1336004406,0.014035087719298246,0.13017429193899782
1336003555,0.0,0.0
1336000151,0.10877719429857464,0.11875350926445817
1335998449,0.0,0.0
1336006108,0.0,0.04774061781976002
1336005257,0.0,0.0
1336006959,0.09515570934256055,0.0
1336002704,0.0,0.0
1336001002,0.0,0.0
1336007810,0.13017429193899782,0.0
1336010363,0.10877719429857464,0.0
1336012916,0.0,0.0
1336011214,0.0,0.0
1336009512,0.0,0.0
1336015469,0.0,0.0
1336014618,0.04033699259637478,0.014035087719298246
1336013767,0.11875350926445817,0.1075590080669256
1336008661,0.01799280287884846,0.0
1336012065,0.0,0.09515570934256055
1336016320,0.0,0.0
