variable,cols,brier,sigmas,se_queda
formacion,9,0.4723119556981617,0.18827153049957873,True
arbitro_goles_v20,2,0.47277294438757766,-0.4147812363627579,False
impacto_jugador,8,0.4725815925732681,-0.1051787027947042,False
goles,6,0.47665901166406005,-1.9859954349973903,False
xg,6,0.47350941576999267,-0.5275368879592938,False
posesion,6,0.4726836663077215,-0.18574345729713854,False
centros,6,0.47432158778694916,-0.6748756453354414,False
previos_descanso,6,0.4746724332977106,-1.034272118173677,False
forma3_momentum,12,0.4748413912079026,-0.7394661553545497,False
elo,3,0.4731470211084511,-0.48868751598478277,False
goles_temporada,6,0.4749066586901553,-0.7871879308164881,False
calidad_vieja,9,0.4698965964976315,1.2638015139028647,True
porterias_cero,9,0.4733294458051095,-0.8522700514958202,False
minutos_conocidos,6,0.4701884971868245,-0.2706095713945184,False
rotacion,5,0.47525500387545794,-1.947925868374881,False
h2h_2anios,5,0.4695013483200052,0.1827313408803616,True
clima,3,0.47086812509519993,-1.5042916874039676,False
boxscore,54,0.46347846690590716,1.0842099463878525,True
