match_id,mes,y,p_mercado,p_pc,Avg>2.5,Avg<2.5,p_28,p_A,p_B
1181454296,2025-08,1,0.49734042553191493,0.49104859335038353,1.89,1.87,0.6067905,0.5257936,0.5089931
1181457700,2025-08,1,0.5654450261780105,0.581453634085213,1.66,2.16,0.5735186,0.5692115,0.57808506
1181451743,2025-08,1,0.642156862745098,0.6151960784313726,1.46,2.62,0.6560129,0.75016195,0.70746475
1181455147,2025-08,1,0.5578947368421052,0.5347043701799487,1.68,2.12,0.5396584,0.5441983,0.547553
1173513615,2025-08,0,0.5305039787798408,0.49104859335038353,1.77,2.0,0.5435296,0.59373105,0.5735842
1173512764,2025-08,0,0.544973544973545,0.5358974358974359,1.72,2.06,0.45214456,0.52769554,0.49794134
1173514466,2025-08,0,0.4145077720207254,0.39655172413793105,2.26,1.6,0.6426738,0.46060452,0.5152867
1183963895,2025-08,0,0.32779097387173395,0.3294930875576037,2.83,1.38,0.36133766,0.35329148,0.30255
1183599667,2025-08,0,0.39845758354755784,0.4034653465346535,2.34,1.55,0.5406579,0.4446575,0.48245254
1180942845,2025-08,1,0.5695538057742783,0.5945273631840796,1.64,2.17,0.74729896,0.67387706,0.6714039
1172565601,2025-08,0,0.39641943734015345,0.4029850746268657,2.36,1.55,0.38867065,0.37712115,0.3860006
1172569856,2025-08,0,0.4880000000000001,0.4871794871794872,1.92,1.83,0.4490002,0.4399568,0.43096933
1181456849,2025-08,1,0.5358090185676393,0.5242966751918159,1.75,2.02,0.3150011,0.3209489,0.29701468
1173511913,2025-08,1,0.6055979643765903,0.5854271356783919,1.55,2.38,0.6065135,0.60943633,0.6164735
1180943696,2025-08,1,0.5437665782493368,0.5025641025641026,1.72,2.05,0.6096942,0.5896771,0.5808114
1183967299,2025-08,0,0.4109947643979057,0.4160401002506265,2.25,1.57,0.45151448,0.3729313,0.40542
1183597114,2025-08,0,0.5319148936170213,0.5347043701799487,1.76,2.0,0.505768,0.5663787,0.52730906
1172569005,2025-08,0,0.4447368421052632,0.42929292929292934,2.11,1.69,0.57136744,0.49968916,0.5293598
1172568154,2025-08,1,0.582901554404145,0.5572519083969466,1.61,2.25,0.5463978,0.61342776,0.6214146
1180941994,2025-08,1,0.6212121212121211,0.6246973365617434,1.5,2.46,0.699473,0.7045881,0.7097677
1183598816,2025-08,1,0.6910755148741418,0.7170212765957447,1.35,3.02,0.6831514,0.7083827,0.73145425
1188800979,2025-08,1,0.4596774193548387,0.43511450381679384,2.01,1.71,0.5396371,0.4854598,0.5075231
1173516168,2025-08,0,0.46684350132625996,0.47959183673469385,2.01,1.76,0.6028574,0.54026365,0.52751064
1173515317,2025-08,0,0.4576719576719577,0.42211055276381915,2.05,1.73,0.37684837,0.38216376,0.3458774
1180941143,2025-08,1,0.4826666666666667,0.4846153846153846,1.94,1.81,0.56728625,0.49643508,0.5091191
1181455998,2025-08,0,0.5212765957446808,0.526854219948849,1.8,1.96,0.60986406,0.61993,0.5925597
1183600518,2025-08,0,0.39845758354755784,0.40796019900497515,2.34,1.55,0.55084527,0.49062747,0.49110904
1183969852,2025-08,0,0.4376657824933686,0.39702233250620345,2.12,1.65,0.4269463,0.37980002,0.4334649
1180946249,2025-08,0,0.4946524064171124,0.4770408163265307,1.89,1.85,0.41910997,0.466928,0.46955872
1180945398,2025-08,0,0.4986666666666667,0.4731457800511509,1.88,1.87,0.6114889,0.57804644,0.57475114
1180939441,2025-08,1,0.5146666666666666,0.5307692307692307,1.82,1.93,0.5510187,0.5285532,0.50820047
1181452594,2025-08,0,0.6221662468513854,0.6136919315403423,1.5,2.47,0.6142991,0.657597,0.69396585
1173517019,2025-08,0,0.5292553191489361,0.5280612244897959,1.77,1.99,0.5667169,0.5713685,0.5162116
1172564750,2025-08,0,0.47340425531914887,0.5,1.98,1.78,0.5037284,0.50917226,0.48947382
1172563899,2025-08,0,0.46153846153846156,0.42462311557788945,2.03,1.74,0.47556657,0.5122169,0.5284927
1183603922,2025-08,1,0.5695538057742783,0.5597964376590331,1.64,2.17,0.6247562,0.55412066,0.59264165
1183601369,2025-08,1,0.41298701298701296,0.4441624365482234,2.26,1.59,0.42884842,0.34473422,0.39852077
1183970703,2025-08,0,0.5256064690026954,0.5256410256410255,1.76,1.95,0.46436444,0.5631192,0.52122223
1172567303,2025-08,0,0.544973544973545,0.5242966751918159,1.72,2.06,0.46395245,0.5584136,0.5380144
1172563048,2025-08,0,0.5818181818181818,0.541025641025641,1.61,2.24,0.5314762,0.625754,0.6322296
1180940292,2025-08,0,0.5593667546174144,0.58,1.67,2.12,0.57174695,0.60164005,0.5878623
1183965597,2025-08,0,0.448,0.43147208121827413,2.07,1.68,0.50560945,0.47401953,0.5172284
1183602220,2025-08,1,0.5514511873350924,0.5547073791348601,1.7,2.09,0.5176279,0.56937045,0.5487275
1172570707,2025-08,0,0.4383202099737532,0.3789731051344743,2.14,1.67,0.35103515,0.34328413,0.39186883
1183969001,2025-08,1,0.5188172043010751,0.5561224489795918,1.79,1.93,0.6286911,0.63068104,0.58840436
1183596263,2025-08,0,0.42931937172774864,0.4427480916030535,2.18,1.64,0.47275537,0.41812485,0.47156042
1172566452,2025-08,1,0.5578947368421052,0.5778894472361809,1.68,2.12,0.58126146,0.62709016,0.6092956
1173518721,2025-08,1,0.6136363636363636,0.6019900497512438,1.53,2.43,0.6364304,0.63862133,0.65312326
1183603071,2025-08,1,0.36724565756823824,0.3310185185185185,2.55,1.48,0.42768788,0.3811655,0.3395525
1183963044,2025-08,1,0.4679144385026738,0.46803069053708446,1.99,1.75,0.5300161,0.5378698,0.52140886
1183632005,2025-08,0,0.5066666666666666,0.5435897435897437,1.85,1.9,0.5234332,0.54564923,0.4924299
1172572409,2025-08,1,0.4603174603174603,0.4540816326530612,2.04,1.74,0.3657794,0.37743908,0.39262277
1183607326,2025-08,0,0.41818181818181815,0.4024691358024692,2.24,1.61,0.55542237,0.46693653,0.5119757
1183974958,2025-08,1,0.4932249322493225,0.5115681233933163,1.87,1.82,0.49480438,0.5424994,0.54479337
1181461104,2025-08,0,0.4656084656084655,0.42462311557788945,2.02,1.76,0.4754486,0.4176301,0.43172663
1172575813,2025-08,0,0.48010610079575594,0.44897959183673464,1.96,1.81,0.50052184,0.5470396,0.56096226
1180948802,2025-08,1,0.5212765957446808,0.5572519083969466,1.8,1.96,0.5552616,0.5540839,0.51606935
1183978362,2025-08,0,0.4323607427055703,0.45384615384615384,2.14,1.63,0.49777597,0.41407076,0.45914444
1183612432,2025-08,1,0.33096926713947994,0.32494279176201374,2.83,1.4,0.42723003,0.38709897,0.33909163
1173522125,2025-08,0,0.5639686684073107,0.5447570332480818,1.67,2.16,0.60584784,0.58831894,0.57789695
1181463657,2025-08,0,0.6690307328605202,0.7118279569892474,1.4,2.83,0.80718154,0.7836815,0.7640922
1181461955,2025-08,1,0.6370370370370371,0.6442307692307693,1.47,2.58,0.5350831,0.6231278,0.6314154
1181462806,2025-08,0,0.625,0.633495145631068,1.5,2.5,0.58019716,0.6484961,0.6818529
1181464508,2025-08,1,0.6071428571428571,0.6409638554216868,1.54,2.38,0.65982974,0.6453079,0.66274256
1173526380,2025-08,1,0.4588859416445623,0.4529262086513995,2.04,1.73,0.49255124,0.44797665,0.4442357
1173527231,2025-08,0,0.6071428571428571,0.5789473684210525,1.54,2.38,0.67509925,0.713163,0.74214363
1173528082,2025-08,1,0.43193717277486904,0.3897058823529411,2.17,1.65,0.47910866,0.39344573,0.44388026
1173524678,2025-08,1,0.5680628272251308,0.5945273631840796,1.65,2.17,0.66212296,0.6287023,0.6055479
1183604773,2025-08,0,0.44063324538258575,0.39753086419753086,2.12,1.67,0.5611004,0.4447155,0.5235865
1183977511,2025-08,1,0.5121293800539084,0.5167095115681234,1.81,1.9,0.5923538,0.63396746,0.6134465
1180949653,2025-08,1,0.5053475935828876,0.5051282051282052,1.85,1.89,0.49014416,0.52111256,0.49220258
1181458551,2025-08,1,0.7098901098901099,0.6674418604651163,1.32,3.23,0.6767368,0.6659906,0.7047636
1173522976,2025-08,0,0.53315649867374,0.48849104859335046,1.76,2.01,0.56538594,0.608947,0.5975731
1172571558,2025-08,0,0.4192708333333333,0.4566326530612245,2.23,1.61,0.38305444,0.29496175,0.3472672
1172577515,2025-08,0,0.5039999999999999,0.5025641025641026,1.86,1.89,0.47158808,0.51132655,0.48095846
1180952206,2025-08,0,0.4368421052631579,0.4231738035264484,2.14,1.66,0.47603005,0.3672118,0.4042856
1183979213,2025-08,0,0.48247978436657685,0.493573264781491,1.92,1.79,0.61772937,0.6239101,0.6336988
1183611581,2025-08,0,0.3838383838383838,0.39408866995073893,2.44,1.52,0.48025528,0.39254922,0.40337914
1183609028,2025-08,0,0.46276595744680854,0.414572864321608,2.02,1.74,0.55482054,0.5348569,0.5431461
1172576664,2025-08,0,0.526595744680851,0.4652956298200514,1.78,1.98,0.5228888,0.57017916,0.5269885
1172578366,2025-08,0,0.4760638297872341,0.4552429667519181,1.97,1.79,0.4033845,0.4277605,0.4294011
1180953908,2025-08,1,0.6,0.6136919315403423,1.56,2.34,0.59531915,0.6102713,0.62866044
1183610730,2025-08,1,0.6096938775510204,0.6467780429594271,1.53,2.39,0.72191495,0.61613524,0.6321559
1183975809,2025-08,0,0.5403225806451611,0.565989847715736,1.71,2.01,0.57614005,0.59490675,0.5764453
1180947100,2025-08,0,0.4680851063829787,0.4668367346938776,2.0,1.76,0.46740723,0.49500465,0.4675952
1173521274,2025-08,1,0.596401028277635,0.6262135922330097,1.57,2.32,0.59607524,0.63770187,0.63390625
1173525529,2025-08,1,0.4840425531914894,0.5347043701799487,1.94,1.82,0.6082,0.5582173,0.5400314
1181465359,2025-08,0,0.544973544973545,0.5433673469387755,1.72,2.06,0.5882498,0.6341993,0.60645473
1183606475,2025-08,0,0.5593667546174144,0.49487179487179483,1.67,2.12,0.4868892,0.5259007,0.50414634
1188801830,2025-08,1,0.37468354430379747,0.3636363636363636,2.47,1.48,0.3977362,0.3736108,0.35737792
1188802681,2025-08,1,0.4623655913978494,0.48843187660668386,2.0,1.72,0.50663173,0.51094776,0.50379455
1180951355,2025-08,1,0.5807291666666666,0.6102941176470588,1.61,2.23,0.48325616,0.55128706,0.5431746
1180947951,2025-08,1,0.5066666666666666,0.5115089514066496,1.85,1.9,0.46249446,0.45747805,0.43307218
1180953057,2025-08,1,0.4880000000000001,0.5166240409207161,1.92,1.83,0.5676766,0.519309,0.51957136
1181459402,2025-08,1,0.6293532338308457,0.6265060240963857,1.49,2.53,0.5027555,0.54648066,0.55320513
1173523827,2025-08,0,0.5435356200527705,0.5572519083969466,1.73,2.06,0.6683909,0.61739695,0.58461225
1172579217,2025-08,0,0.41666666666666663,0.4231738035264484,2.24,1.6,0.5046171,0.4221641,0.44395033
1172573260,2025-08,0,0.41085271317829464,0.3653846153846153,2.28,1.59,0.47675294,0.3974882,0.42558655
1183605624,2025-08,1,0.43044619422572183,0.4566326530612245,2.17,1.64,0.48978287,0.38388136,0.41605368
1183980064,2025-08,0,0.42216358839050133,0.4125,2.19,1.6,0.3407269,0.31399482,0.33680415
1181460253,2025-08,1,0.4760638297872341,0.5076923076923077,1.97,1.79,0.5765174,0.5445602,0.53709155
1183608177,2025-08,0,0.42036553524804177,0.4175,2.22,1.61,0.38208395,0.34246507,0.3942282
1173520423,2025-08,1,0.4813829787234043,0.47959183673469385,1.95,1.81,0.45204267,0.41670686,0.4217031
1180950504,2025-08,0,0.6106870229007634,0.5487179487179488,1.53,2.4,0.69418573,0.688472,0.6955207
1172574111,2025-08,1,0.5818181818181818,0.6148148148148148,1.61,2.24,0.57728803,0.62156624,0.6194786
1172574962,2025-08,1,0.5093333333333333,0.4438775510204082,1.84,1.91,0.40121537,0.49378356,0.44601393
1183972405,2025-08,1,0.42216358839050133,0.40648379052369077,2.19,1.6,0.33670932,0.3519603,0.4074522
