config,nucleo,n_extras,n_rasgos,brier_sel,vs_clasica_elo_sel
base_clasica+cp_ataque+cp_minutos+h2h_reciente,base_clasica,3,110,0.47996415753563076,0.6632791325811574
base_clasica+cp_defensa+cp_minutos+h2h_reciente,base_clasica,3,110,0.47996415753563076,0.6632791325811574
base_clasica+cp_ataque+cp_defensa+cp_minutos+h2h_reciente,base_clasica,4,110,0.47996415753563076,0.6632791325811574
base_clasica+cp_minutos+h2h_reciente,base_clasica,2,110,0.47996415753563076,0.6632791325811574
base_clasica+cp_ataque+h2h_reciente,base_clasica,2,110,0.47996415753563076,0.6632791325811574
base_cf+tabla+cp_ataque+cp_defensa+cp_minutos,base_cf,4,91,0.4800101744032511,0.2070364278691816
base_cf+elo+cp_defensa+cp_minutos+h2h_reciente,base_cf,4,84,0.4800855380422248,0.1698752147385524
base_clasica+tabla+cp_defensa+h2h_reciente,base_clasica,3,119,0.48014616191559994,0.5595735546360036
base_clasica+tabla+cp_defensa+cp_minutos+h2h_reciente,base_clasica,4,119,0.48014616191559994,0.5595735546360036
base_clasica+tabla+h2h_reciente,base_clasica,2,119,0.48014616191559994,0.5595735546360036
base_clasica+tabla+cp_minutos+h2h_reciente,base_clasica,3,119,0.48014616191559994,0.5595735546360036
base_clasica+tabla+cp_ataque+cp_defensa+cp_minutos+h2h_reciente,base_clasica,5,119,0.48014616191559994,0.5595735546360036
base_clasica+tabla+cp_ataque+cp_defensa+h2h_reciente,base_clasica,4,119,0.48014616191559994,0.5595735546360036
base_clasica+tabla+cp_ataque+cp_minutos+h2h_reciente,base_clasica,4,119,0.48014616191559994,0.5595735546360036
base_clasica+tabla+cp_ataque+h2h_reciente,base_clasica,3,119,0.48014616191559994,0.5595735546360036
base_cf+elo+tabla+cp_ataque+cp_defensa,base_cf,4,88,0.4803231997170068,0.15676990336552163
base_cf+cp_ataque+cp_defensa+h2h_reciente,base_cf,3,81,0.48041159210776746,0.14068663283314292
base_clasica+tabla+cp_defensa+cp_minutos,base_clasica,3,114,0.48069719670775135,0.44496523248015796
base_clasica+tabla+cp_ataque,base_clasica,2,114,0.48069719670775135,0.44496523248015796
base_clasica+tabla+cp_ataque+cp_defensa+cp_minutos,base_clasica,4,114,0.48069719670775135,0.44496523248015796
base_clasica+tabla,base_clasica,1,114,0.48069719670775135,0.44496523248015796
base_clasica+tabla+cp_defensa,base_clasica,2,114,0.48069719670775135,0.44496523248015796
base_clasica+tabla+cp_ataque+cp_defensa,base_clasica,3,114,0.48069719670775135,0.44496523248015796
base_clasica+tabla+cp_minutos,base_clasica,2,114,0.48069719670775135,0.44496523248015796
base_clasica+tabla+cp_ataque+cp_minutos,base_clasica,3,114,0.48069719670775135,0.44496523248015796
base_cf+elo+cp_defensa+h2h_reciente,base_cf,3,78,0.48083301370842924,0.07006004814090473
base_cf+elo+tabla+cp_defensa+cp_minutos,base_cf,4,88,0.4808832494696491,0.06639074784689948
base_cf+cp_ataque+cp_defensa+cp_minutos,base_cf,3,82,0.48088794343660024,0.07250513582133977
base_cf+elo+tabla+cp_defensa,base_cf,3,82,0.48094095787402213,0.0576339946963239
base_cf+tabla+cp_ataque+cp_defensa,base_cf,3,85,0.48104691298902985,0.048463318571529336
base_cf+elo,base_cf,1,64,0.4810700797778669,0.036537380857549005
base_cf+elo+cp_ataque+cp_defensa,base_cf,3,79,0.48128228049516564,0.013707782786335608
base_cf+elo+cp_ataque+cp_defensa+cp_minutos,base_cf,4,85,0.4813320685785409,0.006212763670971403
base_clasica+elo+tabla,base_clasica,2,117,0.481353270641488,0.015735009832194936
base_clasica+elo+tabla+cp_ataque+cp_defensa,base_clasica,4,117,0.481353270641488,0.015735009832194936
base_clasica+elo+tabla+cp_ataque,base_clasica,3,117,0.481353270641488,0.015735009832194936
base_clasica+elo+tabla+cp_ataque+cp_defensa+cp_minutos,base_clasica,5,117,0.481353270641488,0.015735009832194936
base_clasica+elo+tabla+cp_defensa+cp_minutos,base_clasica,4,117,0.481353270641488,0.015735009832194936
base_clasica+elo+tabla+cp_defensa,base_clasica,3,117,0.481353270641488,0.015735009832194936
base_clasica+elo+tabla+cp_ataque+cp_minutos,base_clasica,4,117,0.481353270641488,0.015735009832194936
base_clasica+elo+tabla+cp_minutos,base_clasica,3,117,0.481353270641488,0.015735009832194936
base_clasica+elo,base_clasica,1,108,0.48137354318083586,
base_clasica+elo+cp_ataque,base_clasica,2,108,0.48137354318083586,
base_clasica+elo+cp_minutos,base_clasica,2,108,0.48137354318083586,
base_clasica+elo+cp_ataque+cp_defensa,base_clasica,3,108,0.48137354318083586,
base_clasica+elo+cp_ataque+cp_minutos,base_clasica,3,108,0.48137354318083586,
base_clasica+elo+cp_ataque+cp_defensa+cp_minutos,base_clasica,4,108,0.48137354318083586,
base_clasica+elo+cp_defensa,base_clasica,2,108,0.48137354318083586,
base_clasica+elo+cp_defensa+cp_minutos,base_clasica,3,108,0.48137354318083586,
base_cf+cp_minutos,base_cf,1,67,0.4813987529937137,-0.0030075197399973014
base_cf+cp_ataque+cp_defensa,base_cf,2,76,0.4815423959599902,-0.025205329899635663
base_cf+tabla+cp_defensa,base_cf,2,79,0.4820177849084655,-0.08523419723311731
base_cf+cp_defensa+cp_minutos+h2h_reciente,base_cf,3,81,0.48217841160194547,-0.10543315615233784
base_cf+elo+cp_defensa+cp_minutos,base_cf,3,79,0.48260551991073536,-0.1664865942418934
base_clasica+cp_ataque+cp_defensa,base_clasica,2,105,0.4827861121994692,-1.3139359464166114
base_clasica+cp_defensa+cp_minutos,base_clasica,2,105,0.4827861121994692,-1.3139359464166114
base_clasica+cp_defensa,base_clasica,1,105,0.4827861121994692,-1.3139359464166114
base_clasica+cp_minutos,base_clasica,1,105,0.4827861121994692,-1.3139359464166114
base_clasica+cp_ataque+cp_minutos,base_clasica,2,105,0.4827861121994692,-1.3139359464166114
base_clasica+cp_ataque,base_clasica,1,105,0.4827861121994692,-1.3139359464166114
base_clasica,base_clasica,0,105,0.4827861121994692,-1.3139359464166114
base_clasica+cp_ataque+cp_defensa+cp_minutos,base_clasica,3,105,0.4827861121994692,-1.3139359464166114
base_cf+tabla+cp_defensa+cp_minutos,base_cf,3,85,0.48286348295516346,-0.1987518283766858
base_cf+cp_defensa+h2h_reciente,base_cf,2,75,0.48307509191011866,-0.22088949784184508
base_cf,base_cf,0,61,0.4832726064929369,-0.22436032992494115
base_cf+elo+cp_defensa,base_cf,2,73,0.484116747371537,-0.3593963012641095
base_cf+cp_defensa+cp_minutos,base_cf,2,76,0.4842770347746777,-0.3856261278309691
base_cf+cp_defensa,base_cf,1,70,0.48564138212941926,-0.5555192815435687
