match_id,mes,y,p_mercado,o,u,p_adaptativo,p_modelo_sin_casa,p_28_fijo
1028429178,2024-08,0,0.4271099744245524,2.24,1.67,0.4271099744245524,0.5893604159355164,0.5893604
1036097539,2024-08,1,0.4476439790575916,2.11,1.71,0.4476439790575916,0.39652019739151,0.3965202
1028430029,2024-08,0,0.4960835509138382,1.93,1.9,0.4960835509138382,0.6175748109817505,0.6175748
1036100092,2024-08,0,0.38539042821158687,2.44,1.53,0.38539042821158687,0.36217159032821655,0.3621716
1028435135,2024-08,1,0.42602040816326525,2.25,1.67,0.42602040816326525,0.523741602897644,0.5237416
1032905438,2024-08,1,0.5883838383838383,1.63,2.33,0.5883838383838383,0.563620924949646,0.5636209
1028026655,2024-08,0,0.6222222222222222,1.53,2.52,0.6222222222222222,0.7520647048950195,0.7520647
1028431731,2024-08,1,0.43958868894601544,2.18,1.71,0.43958868894601544,0.38165006041526794,0.38165006
1036093284,2024-08,1,0.31639722863741343,2.96,1.37,0.31639722863741343,0.3316881060600281,0.3316881
1028027506,2024-08,0,0.6758620689655173,1.41,2.94,0.6758620689655173,0.7260526418685913,0.72605264
1028029208,2024-08,1,0.5298701298701299,1.81,2.04,0.5298701298701299,0.5419661998748779,0.5419662
1028028357,2024-08,0,0.6490384615384616,1.46,2.7,0.6490384615384616,0.8063271641731262,0.80632716
1028030910,2024-08,0,0.5402597402597403,1.77,2.08,0.5402597402597403,0.6598637700080872,0.65986377
1028030059,2024-08,0,0.6825396825396824,1.4,3.01,0.6825396825396824,0.8122677803039551,0.8122678
1032899481,2024-08,1,0.5130208333333333,1.87,1.97,0.5130208333333333,0.6191622614860535,0.61916226
1036096688,2024-08,1,0.37064676616915426,2.53,1.49,0.37064676616915426,0.48387235403060913,0.48387235
1036099241,2024-08,0,0.4591029023746703,2.05,1.74,0.4591029023746703,0.65871262550354,0.6587126
1041282682,2024-08,1,0.5104166666666667,1.88,1.96,0.5104166666666667,0.5816853046417236,0.5816853
1041287788,2024-08,0,0.5091383812010444,1.88,1.95,0.5091383812010444,0.6726912260055542,0.6726912
1028031761,2024-08,1,0.6074999999999999,1.57,2.43,0.6074999999999999,0.743980348110199,0.74398035
1032903736,2024-08,0,0.4908616187989557,1.95,1.88,0.4908616187989557,0.6255382299423218,0.62553823
1028435986,2024-08,0,0.40909090909090917,2.34,1.62,0.40909090909090917,0.3792884945869446,0.3792885
1036094135,2024-08,0,0.4005102040816326,2.35,1.57,0.4005102040816326,0.4599793553352356,0.45997936
1041286937,2024-08,1,0.49869451697127937,1.92,1.91,0.49869451697127937,0.6385116577148438,0.63851166
1041281831,2024-08,0,0.4533678756476684,2.11,1.75,0.4533678756476684,0.4849986135959625,0.4849986
1032902885,2024-08,0,0.605,1.58,2.42,0.605,0.7743703722953796,0.7743704
1028433433,2024-08,1,0.5260416666666667,1.82,2.02,0.5260416666666667,0.5623142719268799,0.5623143
1032904587,2024-08,1,0.43556701030927836,2.19,1.69,0.43556701030927836,0.7733905911445618,0.7733906
1028032612,2024-08,1,0.5286458333333333,1.81,2.03,0.5286458333333333,0.6811829805374146,0.681183
1036098390,2024-08,1,0.43717277486910994,2.15,1.67,0.43717277486910994,0.6307352781295776,0.6307353
1032900332,2024-08,0,0.48825065274151447,1.96,1.87,0.48825065274151447,0.7107227444648743,0.71072274
1032901183,2024-08,0,0.42820512820512824,2.23,1.67,0.42820512820512824,0.4609832763671875,0.46098328
1036100943,2024-08,1,0.3611793611793612,2.6,1.47,0.3611793611793612,0.5069348216056824,0.5069348
1032902034,2024-08,0,0.5104166666666667,1.88,1.96,0.5104166666666667,0.7305291891098022,0.7305292
1028033463,2024-08,0,0.6332518337408313,1.5,2.59,0.6332518337408313,0.8077739477157593,0.80777395
1041280129,2024-08,0,0.40759493670886077,2.34,1.61,0.40759493670886077,0.5059871673583984,0.50598717
1041283533,2024-08,1,0.5039164490861618,1.9,1.93,0.5039164490861618,0.496143102645874,0.4961431
1028434284,2024-08,1,0.40759493670886077,2.34,1.61,0.40759493670886077,0.4556340277194977,0.45563403
1036094986,2024-08,0,0.34216867469879514,2.73,1.42,0.34216867469879514,0.49333077669143677,0.49333078
1036092433,2024-08,1,0.37688442211055284,2.48,1.5,0.37688442211055284,0.5537080764770508,0.5537081
1032906289,2024-08,1,0.5300261096605744,1.8,2.03,0.5300261096605744,0.6779175996780396,0.6779176
1041285235,2024-08,1,0.5169712793733681,1.85,1.98,0.5169712793733681,0.66087806224823,0.66087806
1041280980,2024-08,0,0.4894736842105264,1.94,1.86,0.4894736842105264,0.41763433814048767,0.41763434
1028430880,2024-08,0,0.49869451697127937,1.92,1.91,0.49869451697127937,0.46202367544174194,0.46202368
1041286086,2024-08,1,0.4960835509138382,1.93,1.9,0.4960835509138382,0.6448397636413574,0.64483976
1032187194,2024-08,0,0.4086294416243655,2.33,1.61,0.4086294416243655,0.5188072323799133,0.51880723
1036095837,2024-08,1,0.3620689655172414,2.59,1.47,0.3620689655172414,0.43826180696487427,0.4382618
1041284384,2024-08,1,0.5221932114882506,1.83,2.0,0.5221932114882506,0.5329419374465942,0.53294194
1028034314,2024-08,0,0.625615763546798,1.52,2.54,0.625615763546798,0.709557056427002,0.70955706
1028432582,2024-08,1,0.5629820051413882,1.7,2.19,0.5629820051413882,0.6161277890205383,0.6161278
1036109453,2024-08,1,0.4735449735449735,1.99,1.79,0.4735449735449735,0.7145334482192993,0.71453345
1028437688,2024-08,1,0.4470284237726098,2.14,1.73,0.4470284237726098,0.42069369554519653,0.4206937
1041603509,2024-08,1,0.6457831325301205,1.47,2.68,0.6457831325301205,0.7715804576873779,0.77158046
1032907140,2024-08,1,0.7173447537473233,1.32,3.35,0.7173447537473233,0.7518340349197388,0.75183403
1036108602,2024-08,1,0.3149425287356322,2.98,1.37,0.3149425287356322,0.4794238209724426,0.47942382
1028440241,2024-08,1,0.5492227979274612,1.74,2.12,0.5492227979274612,0.5203810334205627,0.52038103
1028036867,2024-08,1,0.605,1.58,2.42,0.605,0.5360514521598816,0.53605145
1041607764,2024-08,1,0.5555555555555556,1.72,2.15,0.5555555555555556,0.6531953811645508,0.6531954
1041606913,2024-08,1,0.5618556701030928,1.7,2.18,0.5618556701030928,0.6927070617675781,0.69270706
1041609466,2024-08,0,0.4296675191815857,2.23,1.68,0.4296675191815857,0.5125958919525146,0.5125959
1041606062,2024-08,1,0.6194029850746269,1.53,2.49,0.6194029850746269,0.7626227140426636,0.7626227
1041604360,2024-08,0,0.6977777777777777,1.36,3.14,0.6977777777777777,0.8229458928108215,0.8229459
1028040271,2024-08,1,0.7329192546583851,1.29,3.54,0.7329192546583851,0.7528898119926453,0.7528898
1028041973,2024-08,1,0.6280788177339901,1.51,2.55,0.6280788177339901,0.6504697799682617,0.6504698
1028038569,2024-08,1,0.5130208333333333,1.87,1.97,0.5130208333333333,0.7761478424072266,0.77614784
1028041122,2024-08,0,0.4869791666666667,1.97,1.87,0.4869791666666667,0.6547850966453552,0.6547851
1028037718,2024-08,0,0.5440414507772021,1.76,2.1,0.5440414507772021,0.7525023221969604,0.7525023
1036110304,2024-08,0,0.39795918367346944,2.36,1.56,0.39795918367346944,0.4365217089653015,0.4365217
1036104347,2024-08,0,0.3924050632911393,2.4,1.55,0.3924050632911393,0.4651380479335785,0.46513805
1028443645,2024-08,0,0.3542168674698795,2.68,1.47,0.3542168674698795,0.4599587917327881,0.4599588
