match_id,local_formacion,local_ids,visitante_formacion,visitante_ids
1325328611,4-2-3-1,32132212|22349530|7537369|143283|3107132|58695280|306698|3070585|368361|3089905|45572492,4-2-3-1,3134019|25285526|3578218|53722956|3213553|473011|50432599|26049954|5977601|235214|157612
1325334568,4-2-3-1,26164425|143605|397341|472689|142800|471240|45775996|146503|239239|3314983|187719,4-2-3-1,6001590|3078313|20540373|3029208|2833271|454657|31414635|5349218|11390421|48858341|51785482
1325335419,4-2-3-1,31320450|3578379|9000698|184660|42658|235858|58818445|50158577|3322872|19178635|6238904,4-2-3-1,231672|3147543|24627841|439523|470274|234409|311528|62195420|62679869|44779567|54210625
1325332866,3-4-2-1,26160883|43687504|134267|3110835|3181514|28604219|367073|3091515|7790783|8169133|3021480,4-2-3-1,45395|17182879|3138849|180313|55065696|4036907|44646420|31693809|2561342|28670551|31581270
1325330313,3-4-2-1,3155593|24625587|3380349|3557288|55004516|45422279|24630256|26067181|3086524|300258|1663123,4-2-3-1,20778492|3567914|3053197|62391035|219275|3054324|14972027|26083281|66030279|44817724|63189756
1325336270,4-2-3-1,42798140|46683|24608843|6230049|52822483|139097|5014660|43552264|54190339|7650713|13133407,4-2-3-1,43365343|45803366|26273583|6236328|1178352|52825059|26071367|3023412|235697|24702384|3324643
1325329462,4-2-3-1,19047581|26125141|3235127|53425106|3038063|3038546|49081487|3098599|127666|65656920|24609970,4-2-3-1,472206|348719|2843575|472850|32659648|144249|65263114|2993466|23844093|53780111|55333278
1325331164,4-2-3-1,44772322|3101014|26148808|42574511|6111875|3111962|76567729|2963198|3280046|26021135|1384432,5-4-1,256305|3018421|57707545|3074127|445963|3231907|36509319|5306714|2845024|48287757|3113411
1325333717,4-2-3-1,45234|33207048|46844|84998977|24577448|1081430|176610|39921|32719218|54539065|461258,3-4-2-1,470113|58555049|453691|58396625|22343734|25550371|176449|446285|3018260|7832482|1508080
1325332015,3-4-2-1,3073322|418271|20438943|66454353|29334515|46384576|418915|54536489|29660540|236502|327306,4-2-3-1,261296|49446957|20774467|91441|57978508|10943485|22364342|3104395|25192951|101745|177254
