pid,mes,y,p_mercado,p_pc,cuota_o,cuota_u,p_1,p_3,p_10,p_B10
20411,2025-08,0,0.32779097387173395,0.3294930875576037,2.83,1.38,0.49766606,0.45023832,0.4680778,0.33192325
20412,2025-08,1,0.6910755148741418,0.7170212765957447,1.35,3.02,0.65302086,0.6741179,0.71731144,0.74521476
20413,2025-08,0,0.642156862745098,0.6363636363636364,1.46,2.62,0.65588003,0.6889559,0.6772481,0.6216682
20414,2025-08,0,0.544973544973545,0.5242966751918159,1.72,2.06,0.5965978,0.5276554,0.56508267,0.5662602
20415,2025-08,0,0.5818181818181818,0.541025641025641,1.61,2.24,0.58348894,0.6156424,0.51006526,0.5502218
20416,2025-08,0,0.47340425531914887,0.5,1.98,1.78,0.50313896,0.35770455,0.46112466,0.4604115
20417,2025-08,0,0.46153846153846156,0.42462311557788945,2.03,1.74,0.5502361,0.47540966,0.4742691,0.45866793
20418,2025-08,0,0.4376657824933686,0.39702233250620345,2.12,1.65,0.45631042,0.44228774,0.43041,0.42751774
20419,2025-08,0,0.5256064690026954,0.5256410256410255,1.76,1.95,0.28497806,0.5666359,0.5179553,0.536975
20420,2025-08,0,0.448,0.43147208121827413,2.07,1.68,0.41966802,0.43738818,0.44090194,0.45958337
20421,2025-08,0,0.5593667546174144,0.58,1.67,2.12,0.5023274,0.53742224,0.5015048,0.5363552
20422,2025-08,0,0.4986666666666667,0.4731457800511509,1.88,1.87,0.62964547,0.455437,0.46055728,0.5024136
20423,2025-08,1,0.5146666666666666,0.5307692307692307,1.82,1.93,0.6658121,0.47842073,0.5842477,0.5309385
20424,2025-08,0,0.4946524064171124,0.4770408163265307,1.89,1.85,0.4390015,0.50461215,0.48617172,0.45980936
20425,2025-08,0,0.39845758354755784,0.40796019900497515,2.34,1.55,0.40457606,0.42225784,0.42454657,0.390339
20426,2025-08,1,0.5514511873350924,0.5547073791348601,1.7,2.09,0.35071677,0.62842745,0.5591438,0.5501207
20427,2025-08,0,0.5212765957446808,0.526854219948849,1.8,1.96,0.6586068,0.5599848,0.5951857,0.53724843
20428,2025-08,0,0.6221662468513854,0.6136919315403423,1.5,2.47,0.59110695,0.70225966,0.64587736,0.69132596
20429,2025-08,1,0.4826666666666667,0.4846153846153846,1.94,1.81,0.4244969,0.51150936,0.5662899,0.50393665
20430,2025-08,0,0.46684350132625996,0.47959183673469385,2.01,1.76,0.51800776,0.48430696,0.5395136,0.4869194
20431,2025-08,0,0.4576719576719577,0.42211055276381915,2.05,1.73,0.48518148,0.50622946,0.5018559,0.46704
20432,2025-08,1,0.5695538057742783,0.5597964376590331,1.64,2.17,0.5019245,0.5024776,0.5722348,0.5493945
20433,2025-08,1,0.41298701298701296,0.4441624365482234,2.26,1.59,0.5458349,0.4521784,0.44525355,0.41361985
20434,2025-08,0,0.5292553191489361,0.5280612244897959,1.77,1.99,0.5004969,0.43208343,0.4377424,0.49554643
20435,2025-08,1,0.6136363636363636,0.6019900497512438,1.53,2.43,0.70247597,0.6698349,0.6574348,0.6675644
20436,2025-08,1,0.5188172043010751,0.5561224489795918,1.79,1.93,0.5494542,0.5777113,0.600079,0.5808798
20437,2025-08,1,0.4679144385026738,0.46803069053708446,1.99,1.75,0.51854634,0.44522554,0.49816275,0.50516206
20438,2025-08,0,0.4383202099737532,0.3789731051344743,2.14,1.67,0.3741607,0.3901769,0.3938489,0.40215454
20439,2025-08,1,0.5578947368421052,0.5778894472361809,1.68,2.12,0.57274383,0.48369294,0.48314872,0.54736805
20440,2025-08,0,0.42931937172774864,0.4427480916030535,2.18,1.64,0.5416044,0.4289926,0.47216138,0.4481322
20441,2025-08,1,0.36724565756823824,0.3310185185185185,2.55,1.48,0.38707232,0.38693398,0.43495774,0.3520543
20442,2025-08,0,0.5066666666666666,0.5435897435897437,1.85,1.9,0.48545456,0.49102014,0.54198414,0.5166793
20443,2025-08,1,0.4603174603174603,0.4540816326530612,2.04,1.74,0.4336447,0.4247757,0.4519288,0.47463045
20444,2025-08,0,0.4323607427055703,0.45384615384615384,2.14,1.63,0.48480803,0.5000824,0.4141253,0.36721173
20445,2025-08,1,0.33096926713947994,0.32494279176201374,2.83,1.4,0.38322482,0.41116524,0.39473057,0.31478462
20446,2025-08,1,0.4932249322493225,0.5115681233933163,1.87,1.82,0.609465,0.5239457,0.54812324,0.5301465
20447,2025-08,0,0.4656084656084655,0.42462311557788945,2.02,1.76,0.424076,0.46273693,0.5148376,0.4678414
20448,2025-08,1,0.5212765957446808,0.5572519083969466,1.8,1.96,0.59363854,0.56014436,0.5604316,0.49351543
20449,2025-08,0,0.41818181818181815,0.4024691358024692,2.24,1.61,0.36452022,0.5020995,0.49823397,0.40731612
20450,2025-08,0,0.48010610079575594,0.44897959183673464,1.96,1.81,0.4663537,0.4822495,0.51814526,0.49799412
20451,2025-08,1,0.6071428571428571,0.6409638554216868,1.54,2.38,0.46953934,0.56018364,0.5359272,0.5889298
20452,2025-08,0,0.6690307328605202,0.7118279569892474,1.4,2.83,0.6001507,0.79291815,0.70502335,0.69250214
20453,2025-08,0,0.5039999999999999,0.5025641025641026,1.86,1.89,0.53147674,0.47163376,0.52582866,0.49901754
20454,2025-08,0,0.526595744680851,0.4652956298200514,1.78,1.98,0.55324537,0.424617,0.45417914,0.47323233
20455,2025-08,1,0.7098901098901099,0.6674418604651163,1.32,3.23,0.6054814,0.6589874,0.660569,0.6803433
20456,2025-08,0,0.5639686684073107,0.5447570332480818,1.67,2.16,0.5590998,0.5264017,0.5342288,0.5623132
20457,2025-08,1,0.4588859416445623,0.4529262086513995,2.04,1.73,0.42774448,0.57443255,0.55617493,0.48045167
20458,2025-08,0,0.6071428571428571,0.5789473684210525,1.54,2.38,0.5277182,0.48688993,0.46150106,0.6247027
20459,2025-08,1,0.43193717277486904,0.3897058823529411,2.17,1.65,0.4745265,0.39948407,0.42487344,0.43171948
20460,2025-08,0,0.53315649867374,0.48849104859335046,1.76,2.01,0.6116923,0.5102992,0.51461786,0.5342623
20461,2025-08,0,0.625,0.633495145631068,1.5,2.5,0.6772824,0.6669575,0.55192316,0.6278723
20462,2025-08,1,0.5680628272251308,0.5945273631840796,1.65,2.17,0.6579853,0.6740671,0.6473672,0.63826144
20463,2025-08,0,0.5403225806451611,0.565989847715736,1.71,2.01,0.55141747,0.51997775,0.5239536,0.5556147
20464,2025-08,1,0.5121293800539084,0.5167095115681234,1.81,1.9,0.5305775,0.52916306,0.4668449,0.47697854
20465,2025-08,0,0.48247978436657685,0.493573264781491,1.92,1.79,0.5784756,0.5160034,0.5168811,0.43469557
20466,2025-08,0,0.4760638297872341,0.4552429667519181,1.97,1.79,0.20576055,0.49127442,0.4557487,0.45224422
20467,2025-08,0,0.44063324538258575,0.39753086419753086,2.12,1.67,0.3786296,0.40167087,0.4983223,0.4292192
20468,2025-08,0,0.3838383838383838,0.39408866995073893,2.44,1.52,0.2124772,0.50310177,0.40319237,0.3756922
20469,2025-08,0,0.46276595744680854,0.414572864321608,2.02,1.74,0.46366602,0.42055345,0.4449605,0.46483427
20470,2025-08,1,0.6096938775510204,0.6467780429594271,1.53,2.39,0.6639582,0.75532514,0.7337747,0.6440462
20471,2025-08,0,0.4192708333333333,0.4566326530612245,2.23,1.61,0.512753,0.42565465,0.473682,0.39259845
20472,2025-08,0,0.4368421052631579,0.4231738035264484,2.14,1.66,0.41043338,0.51364464,0.4603706,0.4594509
20473,2025-08,1,0.5053475935828876,0.5051282051282052,1.85,1.89,0.55618227,0.5416974,0.5829113,0.5177061
20474,2025-08,1,0.6,0.6136919315403423,1.56,2.34,0.64078873,0.6277214,0.6068722,0.60858256
20475,2025-08,1,0.6370370370370371,0.6442307692307693,1.47,2.58,0.659629,0.5369862,0.5281679,0.61591196
20476,2025-08,1,0.43044619422572183,0.4566326530612245,2.17,1.64,0.35554528,0.3509443,0.415867,0.40512338
20477,2025-08,0,0.42036553524804177,0.4175,2.22,1.61,0.44736332,0.43012375,0.46263403,0.44073883
20478,2025-08,0,0.5593667546174144,0.49487179487179483,1.67,2.12,0.46907005,0.44094267,0.5071992,0.5120551
20479,2025-08,1,0.4813829787234043,0.47959183673469385,1.95,1.81,0.5203785,0.44761443,0.42767558,0.47610798
20480,2025-08,0,0.544973544973545,0.5433673469387755,1.72,2.06,0.61258996,0.52017605,0.526663,0.5676008
20481,2025-08,1,0.6293532338308457,0.6265060240963857,1.49,2.53,0.6229658,0.6081691,0.6627153,0.6510834
20482,2025-08,0,0.6602409638554217,0.6564705882352941,1.41,2.74,0.6718792,0.62728626,0.63731647,0.7246647
20483,2025-08,0,0.6106870229007634,0.5487179487179488,1.53,2.4,0.68513876,0.63837487,0.6413936,0.65852493
20484,2025-08,1,0.4840425531914894,0.5347043701799487,1.94,1.82,0.5024638,0.4872962,0.49320778,0.4844442
20485,2025-08,0,0.41085271317829464,0.3653846153846153,2.28,1.59,0.478395,0.44024763,0.5236258,0.42822543
20486,2025-08,0,0.41666666666666663,0.4231738035264484,2.24,1.6,0.47476357,0.44348693,0.47155982,0.42052498
20487,2025-08,1,0.5818181818181818,0.6148148148148148,1.61,2.24,0.4748128,0.48075533,0.5033925,0.5187866
20488,2025-08,1,0.5093333333333333,0.4438775510204082,1.84,1.91,0.57615054,0.43543297,0.47907513,0.4810535
20489,2025-08,1,0.5066666666666666,0.5115089514066496,1.85,1.9,0.6320159,0.53249013,0.56519115,0.5069297
20490,2025-08,1,0.4760638297872341,0.5076923076923077,1.97,1.79,0.62228286,0.58684826,0.6005119,0.53227985
20491,2025-08,0,0.5435356200527705,0.5572519083969466,1.73,2.06,0.6834401,0.6166409,0.5861286,0.532811
20492,2025-08,0,0.4680851063829787,0.4668367346938776,2.0,1.76,0.33924633,0.50186884,0.48426026,0.48232752
20493,2025-08,1,0.37468354430379747,0.3636363636363636,2.47,1.48,0.40657896,0.4341828,0.44948435,0.35853788
20494,2025-08,1,0.4623655913978494,0.48843187660668386,2.0,1.72,0.477364,0.5018608,0.50799817,0.46946874
20495,2025-08,0,0.42216358839050133,0.4125,2.19,1.6,0.44143075,0.35198778,0.37298098,0.3965025
20496,2025-08,1,0.42216358839050133,0.40648379052369077,2.19,1.6,0.4227682,0.36973324,0.3983757,0.41845816
20497,2025-08,1,0.4880000000000001,0.5166240409207161,1.92,1.83,0.26661617,0.5548333,0.43248922,0.43224144
20498,2025-08,1,0.596401028277635,0.6262135922330097,1.57,2.32,0.4817254,0.5271863,0.4807249,0.543162
20499,2025-08,1,0.5807291666666666,0.6102941176470588,1.61,2.23,0.56188184,0.58442193,0.5351783,0.60912514
20500,2025-09,1,0.3582089552238806,0.3146067415730337,2.58,1.44,0.45755553,0.3843504,0.39045057,0.308523
20501,2025-09,1,0.4109947643979057,0.4160401002506265,2.25,1.57,0.4260431,0.4333819,0.39849225,0.38228995
20502,2025-09,1,0.448,0.4376590330788804,2.07,1.68,0.58813936,0.55603975,0.46848363,0.4436038
20503,2025-09,1,0.5800524934383202,0.5768261964735516,1.6,2.21,0.64526886,0.6141774,0.59712964,0.609673
20504,2025-09,0,0.44533333333333336,0.502577319587629,2.08,1.67,0.44809884,0.47929463,0.49825725,0.4562429
20505,2025-09,0,0.4414893617021276,0.41813602015113355,2.1,1.66,0.48171625,0.38337314,0.4259912,0.4471697
20506,2025-09,1,0.4146981627296588,0.39702233250620345,2.23,1.58,0.41169915,0.37794027,0.42053658,0.40052456
20507,2025-09,1,0.40519480519480516,0.36211031175059955,2.29,1.56,0.48233342,0.4840774,0.4618105,0.42324406
20508,2025-09,1,0.38071065989847713,0.33874709976798145,2.44,1.5,0.40475646,0.43925372,0.45029107,0.4051107
20509,2025-09,0,0.38618925831202044,0.3636363636363636,2.4,1.51,0.55270195,0.40620098,0.42804766,0.4011368
20510,2025-09,1,0.5837696335078534,0.6004962779156326,1.59,2.23,0.6377146,0.64111364,0.5901004,0.61571866
20511,2025-09,0,0.3979328165374677,0.4253164556962025,2.33,1.54,0.4097055,0.4321761,0.38732606,0.35099885
20512,2025-09,0,0.40992167101827676,0.4054726368159204,2.26,1.57,0.36552548,0.39986226,0.43575096,0.41460627
20513,2025-09,1,0.6538461538461539,0.6133004926108374,1.44,2.72,0.44769478,0.54443693,0.53923684,0.66129315
20514,2025-09,1,0.43229166666666663,0.41353383458646614,2.18,1.66,0.49759513,0.39660126,0.4684916,0.41848856
20515,2025-09,1,0.6397058823529411,0.6533957845433255,1.47,2.61,0.6760889,0.6847625,0.67965263,0.6226773
20516,2025-09,1,0.48118279569892475,0.47557840616966585,1.93,1.79,0.4731844,0.41221133,0.4603587,0.45911044
20517,2025-09,0,0.4656084656084655,0.4376590330788804,2.02,1.76,0.43872485,0.4482122,0.38962194,0.44503084
20518,2025-09,0,0.5755208333333334,0.6204379562043796,1.63,2.21,0.6388459,0.5551601,0.5329739,0.5621845
20519,2025-09,0,0.6311881188118812,0.6516587677725119,1.49,2.55,0.571962,0.55966544,0.5878657,0.611418
20520,2025-09,1,0.42558746736292424,0.42000000000000004,2.2,1.63,0.46297652,0.49559075,0.5105568,0.4379053
20521,2025-09,0,0.4244791666666667,0.41206030150753775,2.21,1.63,0.5077179,0.4065078,0.43697494,0.42841163
20522,2025-09,1,0.5053191489361702,0.5191815856777493,1.86,1.9,0.5197148,0.55935603,0.5352704,0.5239328
20523,2025-09,1,0.5917312661498708,0.5620253164556962,1.58,2.29,0.7052649,0.61650836,0.6258363,0.6325792
20524,2025-09,1,0.526595744680851,0.5521628498727736,1.78,1.98,0.5705616,0.5268625,0.57758033,0.56199837
20525,2025-09,1,0.5538057742782152,0.5572519083969466,1.7,2.11,0.4932385,0.4751547,0.47908774,0.56172514
20526,2025-09,1,0.6161616161616161,0.6643518518518519,1.52,2.44,0.5480725,0.5256359,0.48866934,0.6158016
20527,2025-09,0,0.5053191489361702,0.5498721227621484,1.86,1.9,0.47303677,0.45361656,0.5132329,0.48634166
20528,2025-09,1,0.5552631578947369,0.5782828282828284,1.69,2.11,0.5744859,0.5271249,0.4960975,0.5292841
20529,2025-09,1,0.5616797900262467,0.5793450881612091,1.67,2.14,0.5623805,0.5139898,0.49567738,0.5466888
20530,2025-09,1,0.4035989717223651,0.3901234567901235,2.32,1.57,0.47524953,0.38626498,0.43204728,0.3710029
20531,2025-09,1,0.5343915343915343,0.548469387755102,1.76,2.02,0.5857004,0.5626551,0.49041215,0.52753156
20532,2025-09,0,0.5396825396825397,0.5623409669211196,1.74,2.04,0.53260076,0.50776803,0.4995264,0.5243901
20533,2025-09,1,0.779816513761468,0.7079646017699115,1.2,4.25,0.58823717,0.6974652,0.7409751,0.7894522
20534,2025-09,0,0.47340425531914887,0.4552429667519181,1.98,1.78,0.52285975,0.47953635,0.5263511,0.48134917
20535,2025-09,0,0.4511873350923483,0.43511450381679384,2.08,1.71,0.5616752,0.59373933,0.57577115,0.420925
20536,2025-09,1,0.5411140583554377,0.5768261964735516,1.73,2.04,0.5948349,0.64381707,0.64243174,0.59023696
20537,2025-09,0,0.34382566585956414,0.33411214953271023,2.71,1.42,0.4153993,0.56279224,0.49054837,0.39326337
20538,2025-09,0,0.37626262626262624,0.35714285714285715,2.47,1.49,0.42451024,0.3736138,0.44745332,0.36880878
20539,2025-09,1,0.39230769230769225,0.41813602015113355,2.37,1.53,0.45577016,0.43863052,0.41030234,0.39296597
20540,2025-09,0,0.35308641975308636,0.328735632183908,2.62,1.43,0.42798036,0.39362577,0.4042078,0.34039074
20541,2025-09,1,0.5027027027027027,0.4974226804123712,1.84,1.86,0.5125948,0.52378243,0.48793775,0.50754607
20542,2025-09,0,0.42297650130548303,0.40049751243781095,2.21,1.62,0.36686054,0.37435687,0.39517078,0.38975376
20543,2025-09,0,0.5514511873350924,0.5510204081632654,1.7,2.09,0.48442107,0.5378889,0.5123676,0.54852504
20544,2025-09,1,0.526595744680851,0.48337595907928377,1.78,1.98,0.54022485,0.6462028,0.6303281,0.533861
20545,2025-09,0,0.421875,0.3695652173913044,2.22,1.62,0.3711262,0.40484896,0.45406452,0.44245702
20546,2025-09,1,0.7133479212253829,0.6666666666666666,1.31,3.26,0.6200412,0.59853876,0.63169056,0.71093756
20547,2025-09,0,0.41085271317829464,0.3832923832923833,2.28,1.59,0.35337782,0.3481939,0.4486653,0.3970244
20548,2025-09,1,0.5396825396825397,0.5295629820051414,1.74,2.04,0.5766011,0.687537,0.6585919,0.60478103
20549,2025-09,1,0.6055979643765903,0.6102941176470588,1.55,2.38,0.54702395,0.5275923,0.51687866,0.5911341
20550,2025-09,0,0.6161616161616161,0.6304347826086957,1.52,2.44,0.6404526,0.7334568,0.6693402,0.6596364
20551,2025-09,1,0.4878706199460916,0.48711340206185555,1.9,1.81,0.48695213,0.388304,0.44504747,0.4734581
20552,2025-09,0,0.46153846153846156,0.45897435897435895,2.03,1.74,0.47100085,0.45991865,0.41367278,0.42421404
20553,2025-09,0,0.5319148936170213,0.5115089514066496,1.76,2.0,0.508491,0.52045363,0.5091156,0.52470577
20554,2025-09,0,0.49066666666666664,0.45897435897435895,1.91,1.84,0.57185304,0.46380147,0.43724924,0.48832765
20555,2025-09,1,0.5358090185676393,0.5645569620253165,1.75,2.02,0.6112559,0.5971781,0.5672631,0.5576013
20556,2025-09,1,0.6327543424317617,0.6897321428571429,1.48,2.55,0.5640837,0.6125165,0.6327843,0.68600255
20557,2025-09,1,0.4588859416445623,0.44642857142857145,2.04,1.73,0.44122797,0.48794165,0.4949635,0.4661697
20558,2025-09,1,0.47074468085106375,0.5498721227621484,1.99,1.77,0.6143813,0.4951191,0.52881414,0.48390704
20559,2025-09,0,0.5476190476190476,0.5191815856777493,1.71,2.07,0.45644474,0.40223685,0.44448072,0.5216203
20560,2025-09,1,0.5241935483870968,0.6029776674937966,1.77,1.95,0.6843972,0.5397471,0.5892376,0.5840729
20561,2025-09,1,0.5519999999999999,0.5818639798488666,1.68,2.07,0.4321525,0.46022797,0.48263112,0.53135794
20562,2025-09,1,0.38071065989847713,0.37288135593220334,2.44,1.5,0.43915033,0.4649462,0.47361097,0.3738937
20563,2025-09,0,0.40992167101827676,0.3950617283950617,2.26,1.57,0.47308415,0.38475597,0.36002582,0.32116026
20564,2025-09,0,0.47074468085106375,0.48593350383631717,1.99,1.77,0.5234581,0.47017974,0.5124247,0.50590163
20565,2025-09,1,0.5358090185676393,0.5280612244897959,1.75,2.02,0.5026313,0.52103466,0.53778344,0.5472251
20566,2025-09,0,0.6938775510204082,0.7096774193548387,1.35,3.06,0.7462419,0.73729694,0.7219039,0.7235648
20567,2025-09,0,0.5106382978723405,0.4936061381074168,1.84,1.92,0.48123327,0.41595593,0.5142373,0.48901692
20568,2025-09,0,0.47708894878706204,0.47814910025706947,1.94,1.77,0.47298962,0.47492275,0.4992988,0.48393923
20569,2025-09,0,0.4511873350923483,0.4416243654822335,2.08,1.71,0.5226791,0.42830163,0.4620265,0.43871793
20570,2025-09,0,0.41818181818181815,0.37990196078431376,2.24,1.61,0.52970827,0.4635225,0.44624567,0.40481082
20571,2025-09,1,0.41666666666666663,0.40049751243781095,2.24,1.6,0.6231476,0.4480543,0.43928662,0.37083313
20572,2025-09,1,0.5278514588859416,0.5547073791348601,1.78,1.99,0.54906225,0.52459437,0.524756,0.5622795
20573,2025-09,0,0.5526315789473685,0.5829145728643217,1.7,2.1,0.6389421,0.61484677,0.6153058,0.57590485
20574,2025-09,0,0.5411140583554377,0.5358974358974359,1.73,2.04,0.62492627,0.5895294,0.6058103,0.5539619
20575,2025-09,1,0.3688118811881188,0.3832923832923833,2.55,1.49,0.3294248,0.3960972,0.4254539,0.3856359
20576,2025-09,1,0.4312169312169312,0.44132653061224486,2.15,1.63,0.42230654,0.38293803,0.38237473,0.39967117
