match_id,mes,y,p_mercado,p_pc,Avg>2.5,Avg<2.5,p_28,p_A,p_B,p_goles,p_goles_dc,p_xg,p_xg_dc,p_goles_mezcla,p_goles_dc_mezcla,p_xg_mezcla,p_xg_dc_mezcla
1183592008,2025-08,1,0.4397905759162304,0.4343434343434343,2.14,1.68,0.52573764,0.4672765,0.5243068,0.4727676444239699,0.4727676444239699,0.4770772279151534,0.4770772279151534,0.49925264221198495,0.49925264221198495,0.5014074339575767,0.5014074339575767
1180938590,2025-08,0,0.5239361702127661,0.5191815856777493,1.79,1.97,0.61821735,0.61263126,0.5771156,0.6067196210848433,0.6067196210848433,0.6085812590787008,0.6085812590787008,0.6124684855424216,0.6124684855424216,0.6133993045393504,0.6133993045393504
1173503403,2025-08,1,0.6986607142857143,0.676605504587156,1.35,3.13,0.67538273,0.7301921,0.73964214,0.6153415060271489,0.6153415060271488,0.6213451344439761,0.6213451344439761,0.6453621180135745,0.6453621180135745,0.6483639322219881,0.6483639322219881
1183957938,2025-08,1,0.4146981627296588,0.3686746987951807,2.23,1.58,0.4112721,0.39317387,0.41037855,0.41427042899409083,0.41427042899409083,0.40521155452544644,0.40521155452544655,0.4127712644970454,0.4127712644970454,0.4082418272627232,0.4082418272627233
1188800128,2025-08,1,0.4932614555256065,0.4253164556962025,1.88,1.83,0.4517893,0.48624986,0.50305253,0.460085378026439,0.460085378026439,0.4505101939512811,0.450510193951281,0.45593733901321953,0.45593733901321953,0.4511497469756406,0.4511497469756405
1183595412,2025-08,0,0.5106382978723405,0.526854219948849,1.84,1.92,0.4922598,0.49027163,0.4837799,0.5376714125832416,0.5376714125832416,0.5335094720826689,0.5335094720826687,0.5149656062916208,0.5149656062916208,0.5128846360413344,0.5128846360413344
1173504254,2025-08,0,0.582901554404145,0.5818639798488666,1.61,2.25,0.57861346,0.59077865,0.57854974,0.6210964239442084,0.6210964239442084,0.6183363970887652,0.6183363970887651,0.5998549419721042,0.5998549419721042,0.5984749285443827,0.5984749285443826
1173506807,2025-08,1,0.5,0.4314720812182741,1.88,1.88,0.5451876,0.5008788,0.5024492,0.5843157919447257,0.5843157919447257,0.5774866194026204,0.5774866194026204,0.5647516959723629,0.5647516959723629,0.5613371097013102,0.5613371097013102
1173505105,2025-08,0,0.5488126649076518,0.5115089514066496,1.71,2.08,0.55591285,0.52655745,0.49743262,0.589794762080424,0.5897947620804241,0.5874624646090432,0.5874624646090432,0.572853806040212,0.5728538060402121,0.5716876573045215,0.5716876573045215
1173507658,2025-08,1,0.5654450261780105,0.5115089514066496,1.66,2.16,0.59639794,0.58467036,0.57474357,0.6414318601367892,0.6414318601367892,0.6405328138630104,0.6405328138630104,0.6189149000683947,0.6189149000683947,0.6184653769315052,0.6184653769315052
1183959640,2025-08,1,0.5585106382978724,0.595,1.66,2.1,0.5936098,0.65009654,0.64980686,0.5823211240536823,0.5823211240536823,0.5702710991009585,0.5702710991009585,0.5879654620268411,0.5879654620268411,0.5819404495504792,0.5819404495504792
1180934335,2025-08,0,0.5631578947368422,0.5645569620253165,1.66,2.14,0.5343413,0.54017365,0.5236706,0.5285247223215208,0.5285247223215208,0.5304710574429167,0.5304710574429167,0.5314330111607604,0.5314330111607604,0.5324061787214583,0.5324061787214583
1173508509,2025-08,1,0.582901554404145,0.5910224438902744,1.61,2.25,0.5245757,0.5856655,0.56349885,0.6030091167784845,0.6030091167784843,0.6111900083375672,0.6111900083375672,0.5637924083892423,0.5637924083892422,0.5678828541687836,0.5678828541687836
1180936037,2025-08,1,0.6177215189873417,0.65962441314554,1.51,2.44,0.53794086,0.57988834,0.57364714,0.6160199504484138,0.6160199504484138,0.6073498163043283,0.6073498163043282,0.5769804052242069,0.5769804052242069,0.5726453381521641,0.5726453381521641
1183592859,2025-08,1,0.5844155844155844,0.6437054631828979,1.6,2.25,0.6561014,0.59013546,0.5634743,0.5251517103512221,0.5251517103512221,0.5410619274332886,0.5410619274332886,0.590626555175611,0.590626555175611,0.5985816637166443,0.5985816637166443
1183962193,2025-08,0,0.3727959697732997,0.3482352941176471,2.49,1.48,0.44362527,0.40073624,0.4100224,0.37525020192985603,0.37525020192985603,0.37531887824813304,0.37531887824813304,0.40943773596492805,0.40943773596492805,0.4094720741240665,0.4094720741240665
1180937739,2025-08,0,0.4734042553191488,0.4731457800511509,1.98,1.78,0.4290871,0.36930496,0.34579724,0.5087659849548116,0.5087659849548116,0.5067313191262793,0.5067313191262793,0.46892654247740584,0.46892654247740584,0.46790920956313964,0.46790920956313964
1183957087,2025-08,1,0.4664879356568364,0.4242424242424242,1.99,1.74,0.5027622,0.5191549,0.51257354,0.5110703744981417,0.5110703744981417,0.4922907712882595,0.4922907712882596,0.5069162872490709,0.5069162872490709,0.49752648564412977,0.4975264856441298
1183594561,2025-08,0,0.3381294964028777,0.3795620437956205,2.76,1.41,0.49314317,0.357725,0.36407486,0.41023059933841277,0.41023059933841277,0.41931146542478037,0.41931146542478026,0.45168688466920637,0.45168688466920637,0.4562273177123902,0.4562273177123901
