match_id,mes,y,p_mercado,p_pc,Avg>2.5,Avg<2.5,p_28,p_A,p_B,p_goles,goles_esperados,p_mezcla
1183592008,2025-08,1,0.4397905759162304,0.4343434343434343,2.14,1.68,0.61585426,0.44722453,0.55822515,0.4397837600666126,2.436445726404453,0.5278190100333062
1180938590,2025-08,0,0.5239361702127661,0.5191815856777493,1.79,1.97,0.61036384,0.54633296,0.5535235,0.6392435629450761,3.2933862056616166,0.624803701472538
1173503403,2025-08,1,0.6986607142857143,0.676605504587156,1.35,3.13,0.6661881,0.6926049,0.7105286,0.5894649606423864,3.0570305500847637,0.6278265303211932
1188800128,2025-08,1,0.4932614555256065,0.4253164556962025,1.88,1.83,0.48477823,0.515079,0.4940269,0.5980722679850692,3.096470011657413,0.5414252489925346
1183957938,2025-08,1,0.4146981627296588,0.3686746987951807,2.23,1.58,0.5136568,0.33804095,0.43605465,0.5223511084113033,2.7657866285858725,0.5180039542056516
1183595412,2025-08,0,0.5106382978723405,0.526854219948849,1.84,1.92,0.5414861,0.5583663,0.53597975,0.5658897769697292,2.951645978604742,0.5536879384848645
1173504254,2025-08,0,0.582901554404145,0.5818639798488666,1.61,2.25,0.6050561,0.60999334,0.61518234,0.5533307708628944,2.8969499559673118,0.5791934354314472
1173506807,2025-08,1,0.5,0.4314720812182741,1.88,1.88,0.60019314,0.54902756,0.52115744,0.5342785427255617,2.815692212527236,0.5672358413627809
1173505105,2025-08,0,0.5488126649076518,0.5115089514066496,1.71,2.08,0.5121332,0.49391532,0.45438337,0.6037750425503472,3.1229065111397754,0.5579541212751735
1173507658,2025-08,1,0.5654450261780105,0.5115089514066496,1.66,2.16,0.65001124,0.6780512,0.65095085,0.6114988025997012,3.1591179240292693,0.6307550212998506
1180934335,2025-08,0,0.5631578947368422,0.5645569620253165,1.66,2.14,0.5911614,0.59913373,0.57483816,0.5339865951511914,2.814462151256405,0.5625739975755957
1183959640,2025-08,1,0.5585106382978724,0.595,1.66,2.1,0.5136568,0.61769027,0.57993203,0.5223511084113033,2.7657866285858725,0.5180039542056516
1173508509,2025-08,1,0.582901554404145,0.5910224438902744,1.61,2.25,0.58855724,0.59927887,0.57680935,0.5991128626991369,3.1012753889003353,0.5938350513495685
1180936037,2025-08,1,0.6177215189873417,0.65962441314554,1.51,2.44,0.562665,0.6021722,0.63726825,0.6638959796273265,3.418922424124018,0.6132804898136632
1183592859,2025-08,1,0.5844155844155844,0.6437054631828979,1.6,2.25,0.62628853,0.6134877,0.58836144,0.5551207586675256,2.904688311173815,0.5907046443337628
1183962193,2025-08,0,0.3727959697732997,0.3482352941176471,2.49,1.48,0.5136568,0.33637017,0.393446,0.5223511084113033,2.7657866285858725,0.5180039542056516
1180937739,2025-08,0,0.4734042553191488,0.4731457800511509,1.98,1.78,0.45408282,0.40813494,0.3613541,0.5504057497071667,2.884344418451342,0.5022442848535833
1183587753,2025-08,1,0.362962962962963,0.3819951338199513,2.58,1.47,0.5181272,0.4641823,0.45917445,0.4066101104796067,2.309995602400039,0.46236865523980336
1183594561,2025-08,0,0.3381294964028777,0.3795620437956205,2.76,1.41,0.3981449,0.27207315,0.25871745,0.4105630615091318,2.3249369175840036,0.4043539807545659
1183957087,2025-08,1,0.4664879356568364,0.4242424242424242,1.99,1.74,0.5136568,0.5260567,0.48828536,0.5223511084113033,2.7657866285858725,0.5180039542056516
1173505956,2025-08,1,0.4880000000000001,0.464102564102564,1.92,1.83,0.5213339,0.5124671,0.5077278,0.5669866285001511,2.956468463067579,0.5441602642500756
1173509360,2025-08,0,0.5766233766233767,0.5561224489795918,1.63,2.22,0.47969064,0.49406677,0.4839395,0.5012498047917547,2.6791318263706887,0.49047022239587734
1180933484,2025-08,1,0.5,0.4501278772378516,1.87,1.87,0.50827366,0.48198944,0.47673663,0.541907417578185,2.8479926898586747,0.5250905387890925
1183960491,2025-08,0,0.4236842105263158,0.4231738035264484,2.19,1.61,0.5136568,0.34033132,0.44515133,0.5223511084113033,2.7657866285858725,0.5180039542056516
1183589455,2025-08,0,0.3948717948717949,0.3882063882063882,2.36,1.54,0.5699296,0.40350515,0.43837053,0.4471915224937224,2.46505261233239,0.5085605612468612
1180932633,2025-08,0,0.4933333333333333,0.4629156010230179,1.9,1.85,0.6065067,0.59674823,0.58265966,0.5460738466527931,2.8657647564125277,0.5762902733263966
1180935186,2025-08,0,0.5039999999999999,0.5115089514066496,1.86,1.89,0.61188465,0.5836726,0.5399475,0.5555878297780447,2.906710589218228,0.5837362398890223
1180931782,2025-08,0,0.4330708661417322,0.5063938618925831,2.16,1.65,0.45849475,0.38048154,0.42483765,0.49039644939629334,2.635302741143394,0.4744455996981467
1173510211,2025-08,0,0.5225464190981433,0.5561224489795918,1.8,1.97,0.48975673,0.43070644,0.45029736,0.4746610891207421,2.572563680845543,0.48220890956037105
1183958789,2025-08,0,0.4824797843665768,0.4314720812182741,1.92,1.79,0.5136568,0.53327936,0.50431776,0.5223511084113033,2.7657866285858725,0.5180039542056516
1183588604,2025-08,1,0.4523809523809524,0.4195979899497487,2.07,1.71,0.4991619,0.5484309,0.51841825,0.4165276825569695,2.3475415386075538,0.45784479127848476
1180936888,2025-08,0,0.6487804878048781,0.6361445783132531,1.44,2.66,0.5472055,0.61097896,0.5899488,0.6248788467919808,3.2230152434441273,0.5860421733959904
1188799277,2025-08,0,0.4986522911051214,0.4781491002570694,1.86,1.85,0.50544155,0.55352414,0.5610137,0.5216943127549679,2.7630587507663726,0.5135679313774839
1183591157,2025-08,1,0.4368421052631579,0.4948717948717948,2.14,1.66,0.5392484,0.40835053,0.47673512,0.447905741664556,2.4678187982024697,0.493577070832278
1183961342,2025-08,0,0.4099216710182767,0.3426573426573427,2.26,1.57,0.46218187,0.3210268,0.39276698,0.5162547756819883,2.7405448002111195,0.48921832284099415
1188798426,2025-08,1,0.4851752021563342,0.4601542416452442,1.91,1.8,0.5136568,0.53327936,0.5070156,0.5223511084113033,2.7657866285858725,0.5180039542056516
1183590306,2025-08,0,0.4497354497354497,0.4221105527638191,2.08,1.7,0.573984,0.53770125,0.47996053,0.5165994406141531,2.7419672608852528,0.5452917203070766
1173511062,2025-08,0,0.4538258575197889,0.4416243654822335,2.07,1.72,0.5868014,0.534802,0.47328335,0.44464621243716196,2.4552062473313736,0.5157238062185809
1188797575,2025-08,1,0.5442359249329759,0.5793450881612091,1.7,2.03,0.5136568,0.6194502,0.56581175,0.5223511084113033,2.7657866285858725,0.5180039542056516
1183593710,2025-08,0,0.6320987654320989,0.65,1.49,2.56,0.6533585,0.72670215,0.6353956,0.5589376144116153,2.921251776522883,0.6061480572058076
1183968150,2025-08,1,0.3826530612244898,0.3832923832923833,2.42,1.5,0.5136568,0.33637017,0.40349764,0.5223511084113033,2.7657866285858725,0.5180039542056516
1181450892,2025-08,1,0.7592233009708738,0.7161290322580645,1.24,3.91,0.7533736,0.74915075,0.79897225,0.6885011255569489,3.55110175866238,0.7209373627784744
1180944547,2025-08,0,0.7524950099800399,,1.24,3.77,0.61941445,0.66113824,0.73498553,0.6291618198186617,3.243798122477826,0.6242881349093308
1173519572,2025-08,1,0.5485564304461943,0.5586734693877551,1.72,2.09,0.49848357,0.5045604,0.48450255,0.5086526952085709,2.709307257144392,0.5035681326042855
1183597965,2025-08,0,0.4207792207792207,0.4114713216957606,2.23,1.62,0.4620766,0.36317536,0.4117508,0.4567532623232453,2.502208455935926,0.4594149311616227
1183964746,2025-08,0,0.3727959697732997,0.3695652173913044,2.49,1.48,0.5153551,0.40726548,0.40424234,0.5095327758935899,2.712910373053078,0.5124439379467949
1183966448,2025-08,0,0.5546666666666668,0.5732323232323232,1.67,2.08,0.49067712,0.58431166,0.55174106,0.6237152333933736,3.21739714744413,0.5571961766966869
1173517870,2025-08,0,0.642156862745098,0.6363636363636364,1.46,2.62,0.694229,0.71537447,0.653463,0.6425108004720846,3.3096647598882933,0.6683699002360424
1181454296,2025-08,1,0.4973404255319149,0.4910485933503835,1.89,1.87,0.5391038,0.48048133,0.43853393,0.49005575873387897,2.6339345239287537,0.5145797793669395
1181451743,2025-08,1,0.642156862745098,0.6151960784313726,1.46,2.62,0.72385323,0.79753923,0.7431096,0.6814432814824236,3.5124167520358953,0.7026482557412118
1181453445,2025-08,1,0.6025641025641025,0.633734939759036,1.55,2.35,0.5618084,0.60215175,0.6327519,0.6401811153501789,3.298046757615568,0.6009947576750894
1181455147,2025-08,1,0.5578947368421052,0.5347043701799487,1.68,2.12,0.51791453,0.52753496,0.5269816,0.5732196522139256,2.9840175115775756,0.5455670911069628
1181457700,2025-08,1,0.5654450261780105,0.581453634085213,1.66,2.16,0.44269514,0.43788585,0.44062796,0.564163846986853,2.9440727888671323,0.5034294934934265
1173514466,2025-08,0,0.4145077720207254,0.396551724137931,2.26,1.6,0.5784172,0.32416162,0.40912518,0.5409958831354295,2.84411705806155,0.5597065415677147
1173513615,2025-08,0,0.5305039787798408,0.4910485933503835,1.77,2.0,0.50059927,0.52300495,0.5091349,0.5765108948356661,2.998665617086486,0.5385550824178331
1173512764,2025-08,0,0.544973544973545,0.5358974358974359,1.72,2.06,0.5200988,0.5760389,0.5625928,0.5637311768255046,2.942177163648543,0.5419149884127523
1183599667,2025-08,0,0.3984575835475578,0.4034653465346535,2.34,1.55,0.63474905,0.5459118,0.5562121,0.4561570368632675,2.499883644878794,0.5454530434316338
1180942845,2025-08,1,0.5695538057742783,0.5945273631840796,1.64,2.17,0.65912706,0.638701,0.62029463,0.639516611655337,3.2947426436724188,0.6493218358276684
1183963895,2025-08,0,0.3277909738717339,0.3294930875576037,2.83,1.38,0.5136568,0.33637017,0.34732947,0.5223511084113033,2.7657866285858725,0.5180039542056516
1172565601,2025-08,0,0.3964194373401534,0.4029850746268657,2.36,1.55,0.53241783,0.4454523,0.4810072,0.37373202707645703,2.1867528976522204,0.4530749285382285
1181456849,2025-08,1,0.5358090185676393,0.5242966751918159,1.75,2.02,0.41834974,0.420931,0.39966184,0.5048701698400749,2.6938597376144293,0.4616099549200375
1173511913,2025-08,1,0.6055979643765903,0.5854271356783919,1.55,2.38,0.5725032,0.5889605,0.60011923,0.5254503231427196,2.7786865981912285,0.5489767615713598
1172569856,2025-08,0,0.4880000000000001,0.4871794871794872,1.92,1.83,0.50973785,0.5455983,0.51338255,0.41342528728547423,2.335774959562663,0.46158156864273714
1180943696,2025-08,1,0.5437665782493368,0.5025641025641026,1.72,2.05,0.57391214,0.55704534,0.53361005,0.5842124841395993,3.03322565264952,0.5790623120697996
1183967299,2025-08,0,0.4109947643979057,0.4160401002506265,2.25,1.57,0.5136568,0.33804095,0.43230146,0.5223511084113033,2.7657866285858725,0.5180039542056516
1183597114,2025-08,0,0.5319148936170213,0.5347043701799487,1.76,2.0,0.54390967,0.6006816,0.58112085,0.4925960841659427,2.6441474090899106,0.5182528770829713
1172569005,2025-08,0,0.4447368421052632,0.4292929292929293,2.11,1.69,0.55763745,0.4455499,0.49829072,0.46692217145478376,2.5420304876701927,0.5122798107273918
1172568154,2025-08,1,0.582901554404145,0.5572519083969466,1.61,2.25,0.53390145,0.6129367,0.6122964,0.4968974515505802,2.6614985321717715,0.5153994507752901
1180941994,2025-08,1,0.6212121212121211,0.6246973365617434,1.5,2.46,0.5843376,0.614493,0.6333918,0.6195472693560642,3.197370807070914,0.6019424346780321
1188800979,2025-08,1,0.4596774193548387,0.4351145038167938,2.01,1.71,0.5136568,0.5260567,0.48144394,0.5223511084113033,2.7657866285858725,0.5180039542056516
1183598816,2025-08,1,0.6910755148741418,0.7170212765957447,1.35,3.02,0.5681839,0.66652983,0.71266586,0.6291409776375332,3.2436965863268417,0.5986624388187666
1180941143,2025-08,1,0.4826666666666667,0.4846153846153846,1.94,1.81,0.6215908,0.5687007,0.52820385,0.5639640868209578,2.943197451586883,0.5927774434104789
1173516168,2025-08,0,0.4668435013262599,0.4795918367346938,2.01,1.76,0.5268914,0.46433097,0.42696896,0.5065254187094489,2.700612014914171,0.5167084093547245
1173515317,2025-08,0,0.4576719576719577,0.4221105527638191,2.05,1.73,0.31986016,0.32723942,0.3034953,0.5003032636668481,2.6752903133353056,0.410081711833424
1181455998,2025-08,0,0.5212765957446808,0.526854219948849,1.8,1.96,0.5938218,0.5880512,0.55700177,0.5574343158055554,2.9147178536482974,0.5756280579027777
1183969852,2025-08,0,0.4376657824933686,0.3970223325062034,2.12,1.65,0.5136568,0.34575933,0.45927644,0.5223511084113033,2.7657866285858725,0.5180039542056516
1183600518,2025-08,0,0.3984575835475578,0.4079601990049751,2.34,1.55,0.45992702,0.4070309,0.41290227,0.47412018541046286,2.5704229378375043,0.46702360270523147
1180946249,2025-08,0,0.4946524064171124,0.4770408163265307,1.89,1.85,0.49465266,0.5215028,0.5135029,0.5559441343107433,2.908254139273539,0.5252983971553716
1180945398,2025-08,0,0.4986666666666667,0.4731457800511509,1.88,1.87,0.51427495,0.4967301,0.47958702,0.526997652548992,2.785144561931821,0.520636301274496
1180939441,2025-08,1,0.5146666666666666,0.5307692307692307,1.82,1.93,0.5680375,0.5173367,0.53904885,0.5366462666007117,2.8256843987803055,0.5523418833003558
1173517019,2025-08,0,0.5292553191489361,0.5280612244897959,1.77,1.99,0.4796323,0.48828036,0.45090923,0.4965521550242351,2.6601029076737888,0.48809222751211756
1181452594,2025-08,0,0.6221662468513854,0.6136919315403423,1.5,2.47,0.6583086,0.6695474,0.7141331,0.6154366553480557,3.1777660509959027,0.6368726276740279
1172564750,2025-08,0,0.4734042553191488,0.5,1.98,1.78,0.5320714,0.52833307,0.48357186,0.5174914993421698,2.745651407324873,0.5247814496710849
1172563899,2025-08,0,0.4615384615384615,0.4246231155778894,2.03,1.74,0.39482063,0.45237875,0.46447152,0.47951399979365417,2.5918162387583212,0.4371673148968271
